entry_ts,exit_ts,side,leg,reason,base_units_opened,dynamic_units_opened,scale,base_pnl_usd,compounded_pnl_usd,balance_before,balance_after,liquidated
2026-03-02T08:30:00.000000000Z,2026-03-02T09:10:00.000000000Z,LONG,TP1,TP1,21000.0000,22195.3188,1.05691994,18.238500,19.276634,500.000000,519.276634,0
2026-03-02T08:30:00.000000000Z,2026-03-02T09:10:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,22195.3188,1.05691994,28.066500,29.664044,519.276634,548.940678,0
2026-03-02T11:00:00.000000000Z,2026-03-02T12:52:00.000000000Z,SHORT,TP1,TP1,21000.0000,24303.8177,1.15732465,18.238500,21.107866,548.940678,570.048544,0
2026-03-02T11:00:00.000000000Z,2026-03-02T12:52:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,24303.8177,1.15732465,28.066500,32.482052,570.048544,602.530596,0
2026-03-02T14:30:00.000000000Z,2026-03-02T19:20:00.000000000Z,LONG,TP1,TP1,21000.0000,26684.7503,1.27070239,18.238500,23.175706,602.530596,625.706302,0
2026-03-02T14:30:00.000000000Z,2026-03-02T19:20:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,26684.7503,1.27070239,28.066500,35.664169,625.706302,661.370470,0
2026-03-02T20:00:00.000000000Z,2026-03-02T22:32:00.000000000Z,SHORT,EXIT,SL,21000.0000,29311.3424,1.39577821,-60.270000,-84.123553,661.370470,577.246918,0
2026-03-03T00:00:00.000000000Z,2026-03-03T06:45:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,25502.6647,1.21441260,8.190000,9.946039,577.246918,587.192957,0
2026-03-03T06:45:00.000000000Z,2026-03-03T08:35:00.000000000Z,LONG,EXIT,SL,21000.0000,25956.3447,1.23601641,-60.270000,-74.494709,587.192957,512.698248,0
2026-03-03T11:45:00.000000000Z,2026-03-03T14:25:00.000000000Z,LONG,EXIT,SL,21000.0000,22873.0060,1.08919076,-60.270000,-65.645527,512.698248,447.052720,0
2026-03-03T15:45:00.000000000Z,2026-03-03T16:17:00.000000000Z,LONG,TP1,TP1,21000.0000,20032.7365,0.95393983,18.238500,17.398432,447.052720,464.451152,0
2026-03-03T15:45:00.000000000Z,2026-03-03T16:17:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,20032.7365,0.95393983,28.066500,26.773752,464.451152,491.224904,0
2026-03-03T19:00:00.000000000Z,2026-03-04T00:39:00.000000000Z,SHORT,TP1,TP1,21000.0000,21893.8295,1.04256331,18.238500,19.014791,491.224904,510.239695,0
2026-03-03T19:00:00.000000000Z,2026-03-04T00:39:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,21893.8295,1.04256331,28.066500,29.261103,510.239695,539.500799,0
2026-03-04T02:00:00.000000000Z,2026-03-04T06:00:00.000000000Z,LONG,EXIT,FLIP,21000.0000,24125.7400,1.14884476,-23.100000,-26.538314,539.500799,512.962485,0
2026-03-04T06:00:00.000000000Z,2026-03-04T07:02:00.000000000Z,SHORT,EXIT,SL,21000.0000,22975.0323,1.09404916,-60.270000,-65.938343,512.962485,447.024142,0
2026-03-04T08:15:00.000000000Z,2026-03-04T10:08:00.000000000Z,SHORT,EXIT,SL,21000.0000,19959.8457,0.95046884,-60.270000,-57.284757,447.024142,389.739385,0
2026-03-04T11:30:00.000000000Z,2026-03-04T15:15:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,17334.6523,0.82545964,-43.680000,-36.056077,389.739385,353.683308,0
2026-03-04T15:15:00.000000000Z,2026-03-04T18:00:00.000000000Z,LONG,EXIT,FLIP,21000.0000,15684.6812,0.74688958,-10.500000,-7.842341,353.683308,345.840967,0
2026-03-04T18:00:00.000000000Z,2026-03-05T00:00:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,15347.7547,0.73084546,-32.970000,-24.095975,345.840967,321.744992,0
