ts,equity
2026-03-02T05:06:00.000000000Z,519.1497
2026-03-02T05:06:00.000000000Z,548.6185
2026-03-02T09:05:00.000000000Z,569.7797
2026-03-02T09:05:00.000000000Z,602.3439
2026-03-02T12:49:00.000000000Z,625.5006
2026-03-02T12:49:00.000000000Z,661.1356
2026-03-02T16:10:00.000000000Z,622.4431
2026-03-02T19:01:00.000000000Z,543.0914
2026-03-02T23:51:00.000000000Z,474.0827
2026-03-03T03:10:00.000000000Z,460.8917
2026-03-03T05:20:00.000000000Z,463.5356
2026-03-03T05:56:00.000000000Z,481.2968
2026-03-03T05:56:00.000000000Z,508.6287
2026-03-03T08:35:00.000000000Z,444.1011
2026-03-03T11:20:00.000000000Z,387.3050
2026-03-03T14:26:00.000000000Z,402.3294
2026-03-03T14:26:00.000000000Z,425.4499
2026-03-03T15:36:00.000000000Z,442.0693
2026-03-03T15:36:00.000000000Z,467.6443
2026-03-03T18:39:00.000000000Z,407.6839
2026-03-04T00:39:00.000000000Z,423.4669
2026-03-04T00:39:00.000000000Z,447.7548
2026-03-04T04:20:00.000000000Z,433.1292
2026-03-04T05:30:00.000000000Z,426.7270
2026-03-04T06:38:00.000000000Z,443.3197
2026-03-04T06:38:00.000000000Z,468.8535
2026-03-04T10:08:00.000000000Z,408.8440
2026-03-04T13:00:00.000000000Z,383.0097
2026-03-04T14:00:00.000000000Z,362.0883
2026-03-04T15:00:00.000000000Z,350.9736
2026-03-04T16:03:00.000000000Z,364.5209
2026-03-04T16:03:00.000000000Z,385.3683
2026-03-04T19:00:00.000000000Z,367.9241
2026-03-04T20:10:00.000000000Z,371.0220
2026-03-05T00:00:00.000000000Z,367.5702
2026-03-05T01:30:00.000000000Z,366.1050
2026-03-05T03:21:00.000000000Z,380.1892
2026-03-05T03:21:00.000000000Z,401.8629
2026-03-05T06:15:00.000000000Z,350.6230
2026-03-05T08:11:00.000000000Z,305.8544
2026-03-05T09:06:00.000000000Z,317.6980
2026-03-05T09:06:00.000000000Z,335.9238
2026-03-05T14:00:00.000000000Z,349.3784
2026-03-05T15:31:00.000000000Z,304.6976
2026-03-05T18:10:00.000000000Z,268.2849
2026-03-05T20:00:00.000000000Z,249.3603
2026-03-05T20:50:00.000000000Z,259.0688
2026-03-05T20:50:00.000000000Z,274.0088
2026-03-06T00:00:00.000000000Z,264.6931
2026-03-06T01:20:00.000000000Z,270.6071
2026-03-06T05:20:00.000000000Z,253.4484
2026-03-06T08:00:00.000000000Z,257.8533
2026-03-06T09:27:00.000000000Z,267.8275
2026-03-06T09:27:00.000000000Z,283.1766
2026-03-06T13:30:00.000000000Z,294.1796
2026-03-06T13:30:00.000000000Z,311.1118
2026-03-06T14:09:00.000000000Z,323.2121
2026-03-06T14:09:00.000000000Z,341.8327
2026-03-08T21:04:00.000000000Z,355.1009
2026-03-08T21:16:00.000000000Z,375.5188
2026-03-09T05:22:00.000000000Z,327.1617
2026-03-09T06:10:00.000000000Z,315.1741
2026-03-09T07:20:00.000000000Z,314.0461
