ts,equity
2026-03-02T03:50:00.000000000Z,509.9255
2026-03-02T05:05:00.000000000Z,529.4496
2026-03-02T05:05:00.000000000Z,559.4945
2026-03-02T07:05:00.000000000Z,488.4857
2026-03-02T09:09:00.000000000Z,507.3206
2026-03-02T09:09:00.000000000Z,536.3048
2026-03-02T11:30:00.000000000Z,523.4806
2026-03-02T12:55:00.000000000Z,457.0032
2026-03-02T14:51:00.000000000Z,474.6217
2026-03-02T14:51:00.000000000Z,501.7341
2026-03-02T16:10:00.000000000Z,522.6333
2026-03-02T17:30:00.000000000Z,542.8088
2026-03-02T19:27:00.000000000Z,473.7687
2026-03-02T20:11:00.000000000Z,491.9378
2026-03-02T20:11:00.000000000Z,519.8975
2026-03-03T00:40:00.000000000Z,525.6351
2026-03-03T01:24:00.000000000Z,545.7944
2026-03-03T01:24:00.000000000Z,576.8168
2026-03-03T02:02:00.000000000Z,598.8953
2026-03-03T02:02:00.000000000Z,632.8709
2026-03-03T04:10:00.000000000Z,654.1071
2026-03-03T04:30:00.000000000Z,641.4135
2026-03-03T05:56:00.000000000Z,560.2734
2026-03-03T07:30:00.000000000Z,549.1196
2026-03-03T08:38:00.000000000Z,570.2313
2026-03-03T08:38:00.000000000Z,602.7194
2026-03-03T10:28:00.000000000Z,525.9127
2026-03-03T11:20:00.000000000Z,458.6537
2026-03-03T11:40:00.000000000Z,447.1721
2026-03-03T12:21:00.000000000Z,464.5192
2026-03-03T12:21:00.000000000Z,491.2138
2026-03-03T13:28:00.000000000Z,510.2331
2026-03-03T13:28:00.000000000Z,539.5010
2026-03-03T14:43:00.000000000Z,470.2759
2026-03-03T15:35:00.000000000Z,488.6649
2026-03-03T15:35:00.000000000Z,516.9629
2026-03-03T18:15:00.000000000Z,490.1832
2026-03-03T19:05:00.000000000Z,492.8057
2026-03-03T21:30:00.000000000Z,475.4517
2026-03-04T00:39:00.000000000Z,414.6945
2026-03-04T02:30:00.000000000Z,403.9427
2026-03-04T03:45:00.000000000Z,404.6655
2026-03-04T06:00:00.000000000Z,379.6801
2026-03-04T06:34:00.000000000Z,330.8298
2026-03-04T08:45:00.000000000Z,314.8793
2026-03-04T10:08:00.000000000Z,327.0690
2026-03-04T10:08:00.000000000Z,345.8272
2026-03-04T12:00:00.000000000Z,337.2196
2026-03-04T12:20:00.000000000Z,317.4510
2026-03-04T13:00:00.000000000Z,305.5863
2026-03-04T13:50:00.000000000Z,300.6973
2026-03-04T15:00:00.000000000Z,302.0343
2026-03-04T15:40:00.000000000Z,313.3168
2026-03-04T17:00:00.000000000Z,287.4319
2026-03-05T04:01:00.000000000Z,250.8873
2026-03-05T08:03:00.000000000Z,218.8868
2026-03-05T09:05:00.000000000Z,227.3724
2026-03-05T09:05:00.000000000Z,240.4307
2026-03-05T10:45:00.000000000Z,246.9511
2026-03-05T11:20:00.000000000Z,249.5884
2026-03-05T12:15:00.000000000Z,242.5940
2026-03-05T13:00:00.000000000Z,233.5376
2026-03-05T13:41:00.000000000Z,242.5625
2026-03-05T13:41:00.000000000Z,256.4504
2026-03-05T15:15:00.000000000Z,247.9882
2026-03-05T16:04:00.000000000Z,257.6023
2026-03-05T16:04:00.000000000Z,272.3971
2026-03-05T17:10:00.000000000Z,277.2797
2026-03-05T17:48:00.000000000Z,288.0651
2026-03-05T17:48:00.000000000Z,304.6622
2026-03-05T19:55:00.000000000Z,310.4038
2026-03-05T20:15:00.000000000Z,322.5077
2026-03-05T20:15:00.000000000Z,341.1338
2026-03-06T02:15:00.000000000Z,297.3512
2026-03-06T03:45:00.000000000Z,290.7259
2026-03-06T09:34:00.000000000Z,253.5703
2026-03-06T12:15:00.000000000Z,253.1162
2026-03-06T13:20:00.000000000Z,251.7566
2026-03-06T13:56:00.000000000Z,261.5458
2026-03-06T13:56:00.000000000Z,276.6100
2026-03-06T15:02:00.000000000Z,287.3828
2026-03-06T15:02:00.000000000Z,303.9607
2026-03-06T16:35:00.000000000Z,284.3760
2026-03-06T17:05:00.000000000Z,281.0745
2026-03-06T18:05:00.000000000Z,279.4424
2026-03-06T18:45:00.000000000Z,281.0648
2026-03-06T19:25:00.000000000Z,276.2957
2026-03-06T20:15:00.000000000Z,274.5694
2026-03-06T21:00:00.000000000Z,272.6084
2026-03-08T21:04:00.000000000Z,237.6929
2026-03-09T01:45:00.000000000Z,235.1275
2026-03-09T02:20:00.000000000Z,224.2325
2026-03-09T03:00:00.000000000Z,232.9806
2026-03-09T03:00:00.000000000Z,246.4426
2026-03-09T04:25:00.000000000Z,241.2481
2026-03-09T04:45:00.000000000Z,238.5452
2026-03-09T05:23:00.000000000Z,207.8518
2026-03-09T07:05:00.000000000Z,215.4726
2026-03-09T08:10:00.000000000Z,207.4666
2026-03-09T08:50:00.000000000Z,210.4421
2026-03-09T09:22:00.000000000Z,218.6373
2026-03-09T09:22:00.000000000Z,231.2485
2026-03-09T11:40:00.000000000Z,228.1489
2026-03-09T12:10:00.000000000Z,221.8262
2026-03-09T13:40:00.000000000Z,225.4916
2026-03-09T16:26:00.000000000Z,196.6054
2026-03-09T18:00:00.000000000Z,208.2330
2026-03-09T18:55:00.000000000Z,212.4077
2026-03-09T19:20:00.000000000Z,185.2660
2026-03-10T07:08:00.000000000Z,161.6989
2026-03-10T10:00:00.000000000Z,163.1965
2026-03-10T11:00:00.000000000Z,157.2965
2026-03-10T12:00:00.000000000Z,152.1706
2026-03-10T12:40:00.000000000Z,148.9506
2026-03-10T13:40:00.000000000Z,149.8037
2026-03-10T14:15:00.000000000Z,147.9562
2026-03-10T14:45:00.000000000Z,153.6138
2026-03-10T14:45:00.000000000Z,162.3201
2026-03-10T17:30:00.000000000Z,165.5229
2026-03-10T18:16:00.000000000Z,171.8223
2026-03-10T18:16:00.000000000Z,181.5162
2026-03-10T20:03:00.000000000Z,158.6511
2026-03-10T21:10:00.000000000Z,158.1621
2026-03-11T01:37:00.000000000Z,138.1740
2026-03-11T02:50:00.000000000Z,120.7725
2026-03-11T03:20:00.000000000Z,117.8670
2026-03-11T05:55:00.000000000Z,111.2628
2026-03-11T07:00:00.000000000Z,109.9987
2026-03-11T07:55:00.000000000Z,113.4607
2026-03-11T14:01:00.000000000Z,117.7725
2026-03-11T14:01:00.000000000Z,124.4077
2026-03-11T15:58:00.000000000Z,129.1313
2026-03-11T15:58:00.000000000Z,136.4004
2026-03-11T17:35:00.000000000Z,130.8406
2026-03-11T18:15:00.000000000Z,128.4864
2026-03-11T19:00:00.000000000Z,127.0775
2026-03-11T21:15:00.000000000Z,121.6133
2026-03-11T21:40:00.000000000Z,118.7359
2026-03-11T21:55:00.000000000Z,116.0285
2026-03-11T23:31:00.000000000Z,101.4372
2026-03-12T02:55:00.000000000Z,106.5097
2026-03-12T04:20:00.000000000Z,104.5911
2026-03-12T05:00:00.000000000Z,105.3268
2026-03-12T07:05:00.000000000Z,102.2702
2026-03-12T09:30:00.000000000Z,97.9042
2026-03-12T11:00:00.000000000Z,97.8181
