entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars
2026-01-02T07:45:00.000000000Z,2026-01-02T07:45:00.000000000Z,LONG,21000.00,0.00,0.66969,0.66969,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0
2026-01-02T07:45:00.000000000Z,2026-01-02T09:30:00.000000000Z,LONG,21000.00,21000.00,0.66969,0.66993,EXIT,FLIP,2.40,2.40,5.0400,-1.20,5.0400,7
2026-01-02T09:30:00.000000000Z,2026-01-02T09:30:00.000000000Z,SHORT,21000.00,0.00,0.66993,0.66993,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,5.0400,0
2026-01-02T09:30:00.000000000Z,2026-01-02T12:15:00.000000000Z,SHORT,21000.00,21000.00,0.66993,0.66937,EXIT,FLIP,5.60,5.60,11.7600,-2.00,16.8000,11
2026-01-02T12:15:00.000000000Z,2026-01-02T12:15:00.000000000Z,LONG,21000.00,0.00,0.66937,0.66937,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,16.8000,0
2026-01-02T12:15:00.000000000Z,2026-01-02T16:30:00.000000000Z,LONG,21000.00,21000.00,0.66937,0.66851,EXIT,FLIP,-8.60,-8.60,-18.0600,-12.40,-1.2600,17
2026-01-02T16:30:00.000000000Z,2026-01-02T16:30:00.000000000Z,SHORT,21000.00,0.00,0.66851,0.66851,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-1.2600,0
2026-01-02T16:30:00.000000000Z,2026-01-02T17:15:00.000000000Z,SHORT,21000.00,21000.00,0.66851,0.66896,EXIT,FLIP,-4.50,-4.50,-9.4500,-4.20,-10.7100,3
2026-01-02T17:15:00.000000000Z,2026-01-02T17:15:00.000000000Z,LONG,21000.00,0.00,0.66896,0.66896,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-10.7100,0
2026-01-02T17:15:00.000000000Z,2026-01-05T07:30:00.000000000Z,LONG,21000.00,21000.00,0.66896,0.66745,EXIT,FLIP,-15.10,-15.10,-31.7100,-24.40,-42.4200,57
2026-01-05T07:30:00.000000000Z,2026-01-05T07:30:00.000000000Z,SHORT,21000.00,0.00,0.66745,0.66745,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-42.4200,0
2026-01-05T07:30:00.000000000Z,2026-01-05T14:00:00.000000000Z,SHORT,21000.00,21000.00,0.66745,0.66843,EXIT,FLIP,-9.80,-9.80,-20.5800,-14.10,-63.0000,26
2026-01-05T14:00:00.000000000Z,2026-01-05T14:00:00.000000000Z,LONG,21000.00,0.00,0.66843,0.66843,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-63.0000,0
2026-01-05T14:00:00.000000000Z,2026-01-05T15:25:00.000000000Z,LONG,21000.00,6300.00,0.66843,0.67036,TP1,TP1,19.30,5.79,12.1590,-2.40,-50.8410,4
2026-01-05T14:00:00.000000000Z,2026-01-05T15:25:00.000000000Z,LONG,21000.00,14700.00,0.66843,0.67036,RUNNER,RUNNER_STOP,19.30,13.51,28.3710,-2.40,-22.4700,4
2026-01-05T17:45:00.000000000Z,2026-01-05T17:45:00.000000000Z,SHORT,21000.00,0.00,0.67115,0.67115,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-22.4700,0
2026-01-05T17:45:00.000000000Z,2026-01-06T01:30:00.000000000Z,SHORT,21000.00,21000.00,0.67115,0.67121,EXIT,FLIP,-0.60,-0.60,-1.2600,-6.30,-23.7300,31
2026-01-06T01:30:00.000000000Z,2026-01-06T01:30:00.000000000Z,LONG,21000.00,0.00,0.67121,0.67121,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-23.7300,0
2026-01-06T01:30:00.000000000Z,2026-01-06T05:30:00.000000000Z,LONG,21000.00,21000.00,0.67121,0.67247,EXIT,FLIP,12.60,12.60,26.4600,-0.80,2.7300,16
2026-01-06T05:30:00.000000000Z,2026-01-06T05:30:00.000000000Z,SHORT,21000.00,0.00,0.67247,0.67247,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,2.7300,0
2026-01-06T05:30:00.000000000Z,2026-01-06T11:45:00.000000000Z,SHORT,21000.00,21000.00,0.67247,0.67187,EXIT,FLIP,6.00,6.00,12.6000,-14.70,15.3300,25
2026-01-06T11:45:00.000000000Z,2026-01-06T11:45:00.000000000Z,LONG,21000.00,0.00,0.67187,0.67187,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,15.3300,0
2026-01-06T11:45:00.000000000Z,2026-01-06T15:00:00.000000000Z,LONG,21000.00,21000.00,0.67187,0.67259,EXIT,FLIP,7.20,7.20,15.1200,-3.00,30.4500,13
2026-01-06T15:00:00.000000000Z,2026-01-06T15:00:00.000000000Z,SHORT,21000.00,0.00,0.67259,0.67259,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,30.4500,0
2026-01-06T15:00:00.000000000Z,2026-01-07T01:15:00.000000000Z,SHORT,21000.00,21000.00,0.67259,0.67372,EXIT,FLIP,-11.30,-11.30,-23.7300,-16.00,6.7200,41
2026-01-07T01:15:00.000000000Z,2026-01-07T01:15:00.000000000Z,LONG,21000.00,0.00,0.67372,0.67372,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,6.7200,0
2026-01-07T01:15:00.000000000Z,2026-01-07T03:52:00.000000000Z,LONG,21000.00,6300.00,0.67372,0.67565,TP1,TP1,19.30,5.79,12.1590,-1.40,18.8790,9
2026-01-07T01:15:00.000000000Z,2026-01-07T03:52:00.000000000Z,LONG,21000.00,14700.00,0.67372,0.67565,RUNNER,RUNNER_STOP,19.30,13.51,28.3710,-1.40,47.2500,9
2026-01-07T04:45:00.000000000Z,2026-01-07T04:45:00.000000000Z,SHORT,21000.00,0.00,0.67592,0.67592,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,47.2500,0
2026-01-07T04:45:00.000000000Z,2026-01-07T07:38:00.000000000Z,SHORT,21000.00,6300.00,0.67592,0.67399,TP1,TP1,19.30,5.79,12.1590,-2.20,59.4090,10
2026-01-07T04:45:00.000000000Z,2026-01-07T07:38:00.000000000Z,SHORT,21000.00,14700.00,0.67592,0.67399,RUNNER,RUNNER_STOP,19.30,13.51,28.3710,-2.20,87.7800,10
2026-01-07T12:00:00.000000000Z,2026-01-07T12:00:00.000000000Z,SHORT,21000.00,0.00,0.67315,0.67315,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,87.7800,0
2026-01-07T12:00:00.000000000Z,2026-01-07T17:15:00.000000000Z,SHORT,21000.00,21000.00,0.67315,0.67305,EXIT,FLIP,1.00,1.00,2.1000,-14.90,89.8800,21
2026-01-07T17:15:00.000000000Z,2026-01-07T17:15:00.000000000Z,LONG,21000.00,0.00,0.67305,0.67305,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,89.8800,0
2026-01-07T17:15:00.000000000Z,2026-01-08T02:00:00.000000000Z,LONG,21000.00,21000.00,0.67305,0.67155,EXIT,FLIP,-15.00,-15.00,-31.5000,-15.20,58.3800,35
2026-01-08T02:00:00.000000000Z,2026-01-08T02:00:00.000000000Z,SHORT,21000.00,0.00,0.67155,0.67155,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,58.3800,0
2026-01-08T02:00:00.000000000Z,2026-01-08T06:15:00.000000000Z,SHORT,21000.00,6300.00,0.67155,0.66962,TP1,TP1,19.30,5.79,12.1590,-5.10,70.5390,16
2026-01-08T02:00:00.000000000Z,2026-01-08T06:15:00.000000000Z,SHORT,21000.00,14700.00,0.67155,0.66962,RUNNER,RUNNER_STOP,19.30,13.51,28.3710,-5.10,98.9100,16
2026-01-08T12:00:00.000000000Z,2026-01-08T12:00:00.000000000Z,SHORT,21000.00,0.00,0.66932,0.66932,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,98.9100,0
2026-01-08T12:00:00.000000000Z,2026-01-08T15:00:00.000000000Z,SHORT,21000.00,21000.00,0.66932,0.66963,EXIT,FLIP,-3.10,-3.10,-6.5100,-6.60,92.4000,12
2026-01-08T15:00:00.000000000Z,2026-01-08T15:00:00.000000000Z,LONG,21000.00,0.00,0.66963,0.66963,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,92.4000,0
2026-01-08T15:00:00.000000000Z,2026-01-08T17:00:00.000000000Z,LONG,21000.00,21000.00,0.66963,0.66919,EXIT,FLIP,-4.40,-4.40,-9.2400,-7.90,83.1600,8
2026-01-08T17:00:00.000000000Z,2026-01-08T17:00:00.000000000Z,SHORT,21000.00,0.00,0.66919,0.66919,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,83.1600,0
2026-01-08T17:00:00.000000000Z,2026-01-08T19:45:00.000000000Z,SHORT,21000.00,21000.00,0.66919,0.66942,EXIT,FLIP,-2.30,-2.30,-4.8300,-3.70,78.3300,11
2026-01-08T19:45:00.000000000Z,2026-01-08T19:45:00.000000000Z,LONG,21000.00,0.00,0.66942,0.66942,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,78.3300,0
2026-01-08T19:45:00.000000000Z,2026-01-09T05:30:00.000000000Z,LONG,21000.00,21000.00,0.66942,0.66935,EXIT,FLIP,-0.70,-0.70,-1.4700,-5.80,76.8600,39
2026-01-09T05:30:00.000000000Z,2026-01-09T05:30:00.000000000Z,SHORT,21000.00,0.00,0.66935,0.66935,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,76.8600,0
2026-01-09T05:30:00.000000000Z,2026-01-09T09:00:00.000000000Z,SHORT,21000.00,21000.00,0.66935,0.66850,EXIT,FLIP,8.50,8.50,17.8500,-3.10,94.7100,14
2026-01-09T09:00:00.000000000Z,2026-01-09T09:00:00.000000000Z,LONG,21000.00,0.00,0.66850,0.66850,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,94.7100,0
