ts,equity
2026-01-28T06:30:00.000000000Z,-0.7900
2026-01-28T06:40:00.000000000Z,-1.1300
2026-01-28T07:10:00.000000000Z,-1.2100
2026-01-28T07:30:00.000000000Z,-0.8900
2026-01-28T08:10:00.000000000Z,-0.6700
2026-01-28T08:15:00.000000000Z,-1.1700
2026-01-28T08:20:00.000000000Z,-1.9100
2026-01-28T08:40:00.000000000Z,-2.0800
2026-01-28T09:05:00.000000000Z,-1.2800
2026-01-28T09:10:00.000000000Z,-1.6700
2026-01-28T09:35:00.000000000Z,-2.0600
2026-01-28T10:05:00.000000000Z,-1.9700
2026-01-28T10:10:00.000000000Z,-2.3900
2026-01-28T10:25:00.000000000Z,-2.6500
2026-01-28T10:30:00.000000000Z,-3.2000
2026-01-28T11:00:00.000000000Z,-2.9700
2026-01-28T11:45:00.000000000Z,-2.4100
2026-01-28T12:00:00.000000000Z,-2.5500
2026-01-28T12:20:00.000000000Z,-2.7500
2026-01-28T12:45:00.000000000Z,-2.9500
2026-01-28T12:55:00.000000000Z,-3.3300
2026-01-28T13:00:00.000000000Z,-3.6900
2026-01-28T13:30:00.000000000Z,-3.3400
2026-01-28T13:40:00.000000000Z,-3.4600
2026-01-28T14:00:00.000000000Z,-3.5100
2026-01-28T14:10:00.000000000Z,-3.7600
2026-01-28T14:15:00.000000000Z,-4.1700
2026-01-28T14:35:00.000000000Z,-4.2400
2026-01-28T14:40:00.000000000Z,-5.0100
2026-01-28T14:55:00.000000000Z,-5.7300
2026-01-28T15:05:00.000000000Z,-6.3400
2026-01-28T15:10:00.000000000Z,-8.4800
2026-01-28T15:25:00.000000000Z,-9.0200
2026-01-28T15:50:00.000000000Z,-9.1300
2026-01-28T16:00:00.000000000Z,-10.3100
2026-01-28T16:15:00.000000000Z,-10.9700
2026-01-28T16:20:00.000000000Z,-11.4700
2026-01-28T16:25:00.000000000Z,-12.3500
2026-01-28T17:00:00.000000000Z,-12.7100
2026-01-28T17:10:00.000000000Z,-13.0500
2026-01-28T17:15:00.000000000Z,-13.4300
2026-01-28T17:20:00.000000000Z,-13.7300
2026-01-28T17:25:00.000000000Z,-13.9500
2026-01-28T17:40:00.000000000Z,-14.2100
2026-01-28T17:50:00.000000000Z,-14.8300
2026-01-28T18:15:00.000000000Z,-14.7700
2026-01-28T18:20:00.000000000Z,-15.1500
2026-01-28T18:35:00.000000000Z,-15.5900
2026-01-28T19:00:00.000000000Z,-15.3700
2026-01-28T19:05:00.000000000Z,-15.9000
2026-01-28T19:10:00.000000000Z,-16.6700
2026-01-28T19:25:00.000000000Z,-17.0000
2026-01-28T19:35:00.000000000Z,-17.3900
2026-01-28T19:45:00.000000000Z,-17.6500
2026-01-28T19:50:00.000000000Z,-18.7000
2026-01-28T20:35:00.000000000Z,-18.1240
2026-01-28T21:30:00.000000000Z,-16.1500
2026-01-28T21:35:00.000000000Z,-16.6600
2026-01-28T22:05:00.000000000Z,-16.7700
2026-01-28T22:25:00.000000000Z,-17.0600
2026-01-28T22:30:00.000000000Z,-17.4600
2026-01-28T22:45:00.000000000Z,-17.8300
2026-01-28T22:55:00.000000000Z,-18.1000
2026-01-28T23:00:00.000000000Z,-18.3400
2026-01-28T23:05:00.000000000Z,-18.6700
2026-01-28T23:20:00.000000000Z,-19.2000
2026-01-28T23:55:00.000000000Z,-19.4600
2026-01-29T00:10:00.000000000Z,-19.4400
2026-01-29T00:40:00.000000000Z,-19.4400
2026-01-29T01:35:00.000000000Z,-18.4400
2026-01-29T01:40:00.000000000Z,-19.0800
2026-01-29T01:55:00.000000000Z,-19.7600
2026-01-29T02:05:00.000000000Z,-20.1600
2026-01-29T02:15:00.000000000Z,-20.5800
2026-01-29T02:55:00.000000000Z,-20.0040
2026-01-29T03:35:00.000000000Z,-17.6240
2026-01-29T03:40:00.000000000Z,-17.9040
2026-01-29T04:20:00.000000000Z,-16.7040
2026-01-29T04:30:00.000000000Z,-16.9840
