ts,equity
2026-02-16T03:12:00.000000000Z,-0.0024
2026-02-16T03:45:00.000000000Z,-0.0024
2026-02-16T04:09:00.000000000Z,-0.0792
2026-02-16T04:18:00.000000000Z,-0.1512
2026-02-16T07:24:00.000000000Z,-0.2256
2026-02-16T08:06:00.000000000Z,-0.1704
2026-02-16T08:36:00.000000000Z,-0.1272
2026-02-16T09:09:00.000000000Z,-0.0072
2026-02-16T09:48:00.000000000Z,0.1656
2026-02-16T10:48:00.000000000Z,0.1608
2026-02-16T11:24:00.000000000Z,0.2472
2026-02-16T12:15:00.000000000Z,0.2904
2026-02-16T13:42:00.000000000Z,0.2952
2026-02-16T15:24:00.000000000Z,0.0144
2026-02-16T15:42:00.000000000Z,-0.0000
2026-02-16T16:18:00.000000000Z,-0.0600
2026-02-16T17:15:00.000000000Z,-0.1992
2026-02-16T17:39:00.000000000Z,-0.2664
2026-02-16T18:30:00.000000000Z,-0.3528
2026-02-16T18:51:00.000000000Z,-0.3888
2026-02-16T19:15:00.000000000Z,-0.4008
2026-02-16T20:06:00.000000000Z,-0.4344
2026-02-17T00:12:00.000000000Z,-0.4656
2026-02-17T01:27:00.000000000Z,-0.6792
2026-02-17T02:06:00.000000000Z,-0.5592
2026-02-17T03:00:00.000000000Z,-0.6984
2026-02-17T03:21:00.000000000Z,-0.7128
2026-02-17T04:15:00.000000000Z,-0.7080
2026-02-17T05:51:00.000000000Z,-0.8568
2026-02-17T06:18:00.000000000Z,-0.8112
2026-02-17T07:33:00.000000000Z,-0.7152
2026-02-17T08:15:00.000000000Z,-0.5880
2026-02-17T10:03:00.000000000Z,-0.8736
2026-02-17T10:12:00.000000000Z,-1.0296
2026-02-17T11:00:00.000000000Z,-0.9768
2026-02-17T11:42:00.000000000Z,-1.0968
2026-02-17T12:03:00.000000000Z,-1.1088
2026-02-17T13:57:00.000000000Z,-1.5816
2026-02-17T15:42:00.000000000Z,-1.4184
2026-02-17T16:12:00.000000000Z,-1.2100
2026-02-17T16:12:00.000000000Z,-0.8892
2026-02-17T17:18:00.000000000Z,-0.9420
2026-02-17T17:51:00.000000000Z,-1.0740
2026-02-17T18:37:00.000000000Z,-1.7628
2026-02-17T19:57:00.000000000Z,-1.8204
2026-02-17T20:39:00.000000000Z,-1.8636
2026-02-17T21:00:00.000000000Z,-1.9164
2026-02-18T00:00:00.000000000Z,-1.9788
2026-02-18T00:30:00.000000000Z,-2.0724
2026-02-18T00:45:00.000000000Z,-2.0964
2026-02-18T01:06:00.000000000Z,-2.2188
2026-02-18T01:24:00.000000000Z,-2.2860
2026-02-18T02:12:00.000000000Z,-2.4348
2026-02-18T02:33:00.000000000Z,-2.4300
2026-02-18T04:27:00.000000000Z,-2.4996
2026-02-18T05:36:00.000000000Z,-2.5572
2026-02-18T06:54:00.000000000Z,-2.5932
2026-02-18T07:39:00.000000000Z,-2.5140
2026-02-18T09:30:00.000000000Z,-2.2572
2026-02-18T10:51:00.000000000Z,-2.2044
2026-02-18T11:51:00.000000000Z,-2.3148
2026-02-18T14:06:00.000000000Z,-2.0748
2026-02-18T15:18:00.000000000Z,-1.8540
2026-02-18T16:03:00.000000000Z,-2.0028
2026-02-18T16:48:00.000000000Z,-2.2236
2026-02-18T17:06:00.000000000Z,-2.2284
2026-02-18T17:42:00.000000000Z,-2.3796
2026-02-18T17:51:00.000000000Z,-2.4732
2026-02-18T19:36:00.000000000Z,-3.1620
2026-02-18T21:03:00.000000000Z,-3.0996
2026-02-19T00:24:00.000000000Z,-3.1092
2026-02-19T01:21:00.000000000Z,-2.7252
2026-02-19T04:15:00.000000000Z,-2.8812
2026-02-19T04:54:00.000000000Z,-3.2244
2026-02-19T08:17:00.000000000Z,-3.9132
2026-02-19T09:24:00.000000000Z,-4.0260
