entry_ts,exit_ts,entry_hour_utc,entry_dow_utc,side,pnl_usd,pnl_pips_weighted,pnl_pips_raw,dominant_exit_reason,dominant_exit_leg,all_reasons,all_legs,is_winner,is_loser
2026-03-11T18:30:00.000000000Z,2026-03-11T21:00:00.000000000Z,18,2,LONG,3.36,1.6,1.6,FLIP,EXIT,FLIP:1,EXIT:1,1,0
2026-03-16T20:15:00.000000000Z,2026-03-16T23:45:00.000000000Z,20,0,SHORT,5.25,2.5,2.5,FLIP,EXIT,FLIP:1,EXIT:1,1,0
2026-03-03T00:00:00.000000000Z,2026-03-03T06:45:00.000000000Z,0,1,SHORT,8.19,3.9,3.9,FLIP,EXIT,FLIP:1,EXIT:1,1,0
2026-03-12T06:15:00.000000000Z,2026-03-12T08:45:00.000000000Z,6,3,LONG,18.27,8.7,8.7,FLIP,EXIT,FLIP:1,EXIT:1,1,0
2026-03-02T03:45:00.000000000Z,2026-03-02T05:06:00.000000000Z,3,0,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-02T08:30:00.000000000Z,2026-03-02T09:10:00.000000000Z,8,0,LONG,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-02T11:00:00.000000000Z,2026-03-02T12:52:00.000000000Z,11,0,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-02T14:30:00.000000000Z,2026-03-02T19:20:00.000000000Z,14,0,LONG,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-03T15:45:00.000000000Z,2026-03-03T16:17:00.000000000Z,15,1,LONG,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-03T19:00:00.000000000Z,2026-03-04T00:39:00.000000000Z,19,1,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-05T01:30:00.000000000Z,2026-03-05T04:03:00.000000000Z,1,3,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-05T10:30:00.000000000Z,2026-03-05T14:39:00.000000000Z,10,3,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-05T18:30:00.000000000Z,2026-03-05T20:50:00.000000000Z,18,3,LONG,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-06T08:15:00.000000000Z,2026-03-06T09:36:00.000000000Z,8,4,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-09T01:00:00.000000000Z,2026-03-09T02:54:00.000000000Z,1,0,LONG,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-09T06:00:00.000000000Z,2026-03-09T08:29:00.000000000Z,6,0,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-09T09:00:00.000000000Z,2026-03-09T09:32:00.000000000Z,9,0,LONG,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-10T05:00:00.000000000Z,2026-03-10T06:13:00.000000000Z,5,1,LONG,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-10T17:30:00.000000000Z,2026-03-10T18:17:00.000000000Z,17,1,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-10T21:00:00.000000000Z,2026-03-11T01:19:00.000000000Z,21,1,LONG,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-11T05:00:00.000000000Z,2026-03-11T07:39:00.000000000Z,5,2,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-11T15:15:00.000000000Z,2026-03-11T17:37:00.000000000Z,15,2,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-11T21:00:00.000000000Z,2026-03-11T23:09:00.000000000Z,21,2,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-12T00:15:00.000000000Z,2026-03-12T01:36:00.000000000Z,0,3,LONG,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-12T02:15:00.000000000Z,2026-03-12T05:19:00.000000000Z,2,3,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-12T08:45:00.000000000Z,2026-03-12T13:21:00.000000000Z,8,3,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-13T01:30:00.000000000Z,2026-03-13T03:36:00.000000000Z,1,4,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-13T08:30:00.000000000Z,2026-03-13T09:03:00.000000000Z,8,4,LONG,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-13T13:00:00.000000000Z,2026-03-13T14:56:00.000000000Z,13,4,SHORT,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-15T21:00:00.000000000Z,2026-03-16T00:06:00.000000000Z,21,6,LONG,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-16T17:00:00.000000000Z,2026-03-16T19:10:00.000000000Z,17,0,LONG,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
2026-03-16T23:45:00.000000000Z,2026-03-17T03:30:00.000000000Z,23,0,LONG,46.305,22.04,43.6,TP1,TP1,TP1:1;RUNNER_STOP:1,TP1:1;RUNNER:1,1,0
