entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars
2026-02-05T13:50:00.000000000Z,2026-02-05T13:50:00.000000000Z,LONG,1000.00,0.00,0.69734,0.69734,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0
2026-02-05T13:50:00.000000000Z,2026-02-05T14:55:00.000000000Z,LONG,1000.00,1000.00,0.69734,0.69691,EXIT,FLIP,-4.30,-4.30,-0.4300,-14.20,-0.4300,13
2026-02-05T14:55:00.000000000Z,2026-02-05T14:55:00.000000000Z,SHORT,1000.00,0.00,0.69691,0.69691,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.4300,0
2026-02-05T14:55:00.000000000Z,2026-02-05T15:27:00.000000000Z,SHORT,1000.00,300.00,0.69691,0.69497,TP1,TP1,19.40,5.82,0.5820,-7.90,0.1520,5
2026-02-05T14:55:00.000000000Z,2026-02-05T15:27:00.000000000Z,SHORT,1000.00,700.00,0.69691,0.69497,RUNNER,RUNNER_STOP,19.40,13.58,1.3580,-7.90,1.5100,5
2026-02-05T15:40:00.000000000Z,2026-02-05T15:40:00.000000000Z,SHORT,1000.00,0.00,0.69472,0.69472,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,1.5100,0
2026-02-05T15:40:00.000000000Z,2026-02-05T16:50:00.000000000Z,SHORT,1000.00,1000.00,0.69472,0.69758,EXIT,SL,-28.60,-28.60,-2.8600,-29.20,-1.3500,13
2026-02-05T17:00:00.000000000Z,2026-02-05T17:00:00.000000000Z,SHORT,1000.00,0.00,0.69666,0.69666,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-1.3500,0
2026-02-05T17:00:00.000000000Z,2026-02-05T18:00:00.000000000Z,SHORT,1000.00,1000.00,0.69666,0.69740,EXIT,FLIP,-7.40,-7.40,-0.7400,-13.30,-2.0900,12
2026-02-05T18:00:00.000000000Z,2026-02-05T18:00:00.000000000Z,LONG,1000.00,0.00,0.69740,0.69740,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-2.0900,0
2026-02-05T18:00:00.000000000Z,2026-02-05T19:25:00.000000000Z,LONG,1000.00,1000.00,0.69740,0.69663,EXIT,FLIP,-7.70,-7.70,-0.7700,-17.00,-2.8600,17
2026-02-05T19:25:00.000000000Z,2026-02-05T19:25:00.000000000Z,SHORT,1000.00,0.00,0.69663,0.69663,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-2.8600,0
2026-02-05T19:25:00.000000000Z,2026-02-05T20:05:00.000000000Z,SHORT,1000.00,1000.00,0.69663,0.69662,EXIT,FLIP,0.10,0.10,0.0100,-0.50,-2.8500,8
2026-02-05T20:05:00.000000000Z,2026-02-05T20:05:00.000000000Z,LONG,1000.00,0.00,0.69662,0.69662,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-2.8500,0
2026-02-05T20:05:00.000000000Z,2026-02-05T21:08:00.000000000Z,LONG,1000.00,1000.00,0.69662,0.69376,EXIT,SL,-28.60,-28.60,-2.8600,-30.40,-5.7100,11
2026-02-05T21:50:00.000000000Z,2026-02-05T21:50:00.000000000Z,SHORT,1000.00,0.00,0.69282,0.69282,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-5.7100,0
2026-02-05T21:50:00.000000000Z,2026-02-05T23:05:00.000000000Z,SHORT,1000.00,1000.00,0.69282,0.69300,EXIT,FLIP,-1.80,-1.80,-0.1800,-4.60,-5.8900,15
2026-02-05T23:05:00.000000000Z,2026-02-05T23:05:00.000000000Z,LONG,1000.00,0.00,0.69300,0.69300,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-5.8900,0
2026-02-05T23:05:00.000000000Z,2026-02-06T00:13:00.000000000Z,LONG,1000.00,1000.00,0.69300,0.69014,EXIT,SL,-28.60,-28.60,-2.8600,-27.90,-8.7500,12
2026-02-06T00:20:00.000000000Z,2026-02-06T00:20:00.000000000Z,LONG,1000.00,0.00,0.69134,0.69134,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-8.7500,0
