entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars,entry_components
2026-03-02T13:30:00.000000000Z,2026-03-02T13:30:00.000000000Z,SHORT,21000.00,0.00,0.70569,0.70569,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0,cross=0;pullback=1;rejoin=1;continuation=0
2026-03-02T13:30:00.000000000Z,2026-03-02T15:11:00.000000000Z,SHORT,21000.00,21000.00,0.70569,0.70856,EXIT,SL,-28.70,-28.70,-60.2700,-28.30,-60.2700,2,cross=0;pullback=1;rejoin=1;continuation=0
2026-03-02T17:00:00.000000000Z,2026-03-02T17:00:00.000000000Z,LONG,21000.00,0.00,0.70779,0.70779,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-60.2700,0,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-02T17:00:00.000000000Z,2026-03-02T19:19:00.000000000Z,LONG,21000.00,9450.00,0.70779,0.70972,TP1,TP1,19.30,8.68,18.2385,-6.50,-42.0315,3,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-02T17:00:00.000000000Z,2026-03-02T19:19:00.000000000Z,LONG,21000.00,11550.00,0.70779,0.71022,RUNNER,RUNNER_STOP,24.30,13.36,28.0665,-6.50,-13.9650,3,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-03T01:30:00.000000000Z,2026-03-03T01:30:00.000000000Z,SHORT,21000.00,0.00,0.70999,0.70999,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-13.9650,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-03T01:30:00.000000000Z,2026-03-03T07:50:00.000000000Z,SHORT,21000.00,9450.00,0.70999,0.70806,TP1,TP1,19.30,8.68,18.2385,-14.50,4.2735,11,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-03T01:30:00.000000000Z,2026-03-03T07:50:00.000000000Z,SHORT,21000.00,11550.00,0.70999,0.70756,RUNNER,RUNNER_STOP,24.30,13.36,28.0665,-14.50,32.3400,11,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-03T15:30:00.000000000Z,2026-03-03T15:30:00.000000000Z,LONG,21000.00,0.00,0.69961,0.69961,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,32.3400,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-03T15:30:00.000000000Z,2026-03-03T16:17:00.000000000Z,LONG,21000.00,9450.00,0.69961,0.70154,TP1,TP1,19.30,8.68,18.2385,-4.50,50.5785,0,cross=0;pullback=1;rejoin=0;continuation=0
