entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars,entry_components
2026-03-02T02:50:00.000000000Z,2026-03-02T02:50:00.000000000Z,LONG,21000.00,0.00,0.71067,0.71067,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0,cross=0;pullback=1;rejoin=1;continuation=0
2026-03-02T02:50:00.000000000Z,2026-03-02T03:50:00.000000000Z,LONG,21000.00,21000.00,0.71067,0.71112,EXIT,FLIP,4.50,4.50,9.4500,-2.30,9.4500,12,cross=0;pullback=1;rejoin=1;continuation=0
2026-03-02T03:50:00.000000000Z,2026-03-02T03:50:00.000000000Z,SHORT,21000.00,0.00,0.71112,0.71112,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,9.4500,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-02T03:50:00.000000000Z,2026-03-02T05:05:00.000000000Z,SHORT,21000.00,9450.00,0.71112,0.70919,TP1,TP1,19.30,8.68,18.2385,-2.10,27.6885,14,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-02T03:50:00.000000000Z,2026-03-02T05:05:00.000000000Z,SHORT,21000.00,11550.00,0.71112,0.70869,RUNNER,RUNNER_STOP,24.30,13.36,28.0665,-2.10,55.7550,14,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-02T05:15:00.000000000Z,2026-03-02T05:15:00.000000000Z,LONG,21000.00,0.00,0.70893,0.70893,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,55.7550,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-02T05:15:00.000000000Z,2026-03-02T07:05:00.000000000Z,LONG,21000.00,21000.00,0.70893,0.70606,EXIT,SL,-28.70,-28.70,-60.2700,-27.70,-4.5150,21,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-02T07:20:00.000000000Z,2026-03-02T07:20:00.000000000Z,LONG,21000.00,0.00,0.70615,0.70615,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-4.5150,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-02T07:20:00.000000000Z,2026-03-02T09:09:00.000000000Z,LONG,21000.00,9450.00,0.70615,0.70808,TP1,TP1,19.30,8.68,18.2385,-16.50,13.7235,20,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-02T07:20:00.000000000Z,2026-03-02T09:09:00.000000000Z,LONG,21000.00,11550.00,0.70615,0.70858,RUNNER,RUNNER_STOP,24.30,13.36,28.0665,-16.50,41.7900,20,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-02T09:35:00.000000000Z,2026-03-02T09:35:00.000000000Z,SHORT,21000.00,0.00,0.70797,0.70797,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,41.7900,0,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-02T09:35:00.000000000Z,2026-03-02T11:30:00.000000000Z,SHORT,21000.00,21000.00,0.70797,0.70851,EXIT,FLIP,-5.40,-5.40,-11.3400,-18.10,30.4500,23,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-02T11:30:00.000000000Z,2026-03-02T11:30:00.000000000Z,LONG,21000.00,0.00,0.70851,0.70851,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,30.4500,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-02T11:30:00.000000000Z,2026-03-02T12:55:00.000000000Z,LONG,21000.00,21000.00,0.70851,0.70564,EXIT,SL,-28.70,-28.70,-60.2700,-27.90,-29.8200,16,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-02T13:10:00.000000000Z,2026-03-02T13:10:00.000000000Z,LONG,21000.00,0.00,0.70625,0.70625,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-29.8200,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-02T13:10:00.000000000Z,2026-03-02T14:51:00.000000000Z,LONG,21000.00,9450.00,0.70625,0.70818,TP1,TP1,19.30,8.68,18.2385,-10.60,-11.5815,19,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-02T13:10:00.000000000Z,2026-03-02T14:51:00.000000000Z,LONG,21000.00,11550.00,0.70625,0.70868,RUNNER,RUNNER_STOP,24.30,13.36,28.0665,-10.60,16.4850,19,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-02T15:15:00.000000000Z,2026-03-02T15:15:00.000000000Z,SHORT,21000.00,0.00,0.70747,0.70747,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,16.4850,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-02T15:15:00.000000000Z,2026-03-02T16:10:00.000000000Z,SHORT,21000.00,21000.00,0.70747,0.70653,EXIT,FLIP,9.40,9.40,19.7400,-3.80,36.2250,11,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-02T16:10:00.000000000Z,2026-03-02T16:10:00.000000000Z,LONG,21000.00,0.00,0.70653,0.70653,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,36.2250,0,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-02T16:10:00.000000000Z,2026-03-02T17:30:00.000000000Z,LONG,21000.00,21000.00,0.70653,0.70740,EXIT,FLIP,8.70,8.70,18.2700,-11.90,54.4950,16,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-02T17:30:00.000000000Z,2026-03-02T17:30:00.000000000Z,SHORT,21000.00,0.00,0.70740,0.70740,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,54.4950,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-02T17:30:00.000000000Z,2026-03-02T19:27:00.000000000Z,SHORT,21000.00,21000.00,0.70740,0.71027,EXIT,SL,-28.70,-28.70,-60.2700,-28.60,-5.7750,22,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-02T20:00:00.000000000Z,2026-03-02T20:00:00.000000000Z,SHORT,21000.00,0.00,0.70997,0.70997,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-5.7750,0,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-02T20:00:00.000000000Z,2026-03-02T20:11:00.000000000Z,SHORT,21000.00,9450.00,0.70997,0.70804,TP1,TP1,19.30,8.68,18.2385,-1.70,12.4635,1,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-02T20:00:00.000000000Z,2026-03-02T20:11:00.000000000Z,SHORT,21000.00,11550.00,0.70997,0.70754,RUNNER,RUNNER_STOP,24.30,13.36,28.0665,-1.70,40.5300,1,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-02T23:55:00.000000000Z,2026-03-02T23:55:00.000000000Z,SHORT,21000.00,0.00,0.71018,0.71018,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,40.5300,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-02T23:55:00.000000000Z,2026-03-03T00:40:00.000000000Z,SHORT,21000.00,21000.00,0.71018,0.70993,EXIT,FLIP,2.50,2.50,5.2500,-1.00,45.7800,9,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-03T00:40:00.000000000Z,2026-03-03T00:40:00.000000000Z,LONG,21000.00,0.00,0.70993,0.70993,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,45.7800,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-03T00:40:00.000000000Z,2026-03-03T01:24:00.000000000Z,LONG,21000.00,9450.00,0.70993,0.71186,TP1,TP1,19.30,8.68,18.2385,-0.50,64.0185,7,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-03T00:40:00.000000000Z,2026-03-03T01:24:00.000000000Z,LONG,21000.00,11550.00,0.70993,0.71236,RUNNER,RUNNER_STOP,24.30,13.36,28.0665,-0.50,92.0850,7,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-03T01:40:00.000000000Z,2026-03-03T01:40:00.000000000Z,SHORT,21000.00,0.00,0.71134,0.71134,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,92.0850,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-03T01:40:00.000000000Z,2026-03-03T02:02:00.000000000Z,SHORT,21000.00,9450.00,0.71134,0.70941,TP1,TP1,19.30,8.68,18.2385,-3.40,110.3235,3,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-03T01:40:00.000000000Z,2026-03-03T02:02:00.000000000Z,SHORT,21000.00,11550.00,0.71134,0.70891,RUNNER,RUNNER_STOP,24.30,13.36,28.0665,-3.40,138.3900,3,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-03T02:30:00.000000000Z,2026-03-03T02:30:00.000000000Z,LONG,21000.00,0.00,0.71005,0.71005,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,138.3900,0,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-03T02:30:00.000000000Z,2026-03-03T04:10:00.000000000Z,LONG,21000.00,21000.00,0.71005,0.71081,EXIT,FLIP,7.60,7.60,15.9600,-2.30,154.3500,20,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-03T04:10:00.000000000Z,2026-03-03T04:10:00.000000000Z,SHORT,21000.00,0.00,0.71081,0.71081,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,154.3500,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-03T04:10:00.000000000Z,2026-03-03T04:30:00.000000000Z,SHORT,21000.00,21000.00,0.71081,0.71125,EXIT,FLIP,-4.40,-4.40,-9.2400,-6.30,145.1100,4,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-03T04:30:00.000000000Z,2026-03-03T04:30:00.000000000Z,LONG,21000.00,0.00,0.71125,0.71125,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,145.1100,0,cross=0;pullback=1;rejoin=1;continuation=0
2026-03-03T04:30:00.000000000Z,2026-03-03T05:56:00.000000000Z,LONG,21000.00,21000.00,0.71125,0.70838,EXIT,SL,-28.70,-28.70,-60.2700,-27.70,84.8400,16,cross=0;pullback=1;rejoin=1;continuation=0
2026-03-03T06:20:00.000000000Z,2026-03-03T06:20:00.000000000Z,LONG,21000.00,0.00,0.70864,0.70864,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,84.8400,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-03T06:20:00.000000000Z,2026-03-03T07:30:00.000000000Z,LONG,21000.00,21000.00,0.70864,0.70819,EXIT,FLIP,-4.50,-4.50,-9.4500,-5.20,75.3900,14,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-03T07:30:00.000000000Z,2026-03-03T07:30:00.000000000Z,SHORT,21000.00,0.00,0.70819,0.70819,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,75.3900,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-03T07:30:00.000000000Z,2026-03-03T08:38:00.000000000Z,SHORT,21000.00,9450.00,0.70819,0.70626,TP1,TP1,19.30,8.68,18.2385,-10.70,93.6285,12,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-03T07:30:00.000000000Z,2026-03-03T08:38:00.000000000Z,SHORT,21000.00,11550.00,0.70819,0.70576,RUNNER,RUNNER_STOP,24.30,13.36,28.0665,-10.70,121.6950,12,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-03T09:00:00.000000000Z,2026-03-03T09:00:00.000000000Z,LONG,21000.00,0.00,0.70605,0.70605,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,121.6950,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-03T09:00:00.000000000Z,2026-03-03T10:28:00.000000000Z,LONG,21000.00,21000.00,0.70605,0.70318,EXIT,SL,-28.70,-28.70,-60.2700,-27.90,61.4250,16,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-03T10:45:00.000000000Z,2026-03-03T10:45:00.000000000Z,LONG,21000.00,0.00,0.70353,0.70353,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,61.4250,0,cross=1;pullback=0;rejoin=0;continuation=0
