entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars
2025-09-01T06:30:00.000000000Z,2025-09-01T06:30:00.000000000Z,LONG,7000.00,0.00,0.65473,0.65473,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0
2025-09-01T06:30:00.000000000Z,2025-09-01T10:30:00.000000000Z,LONG,7000.00,7000.00,0.65473,0.65555,EXIT,FLIP,8.20,8.20,5.7400,-12.30,5.7400,16
2025-09-01T10:30:00.000000000Z,2025-09-01T10:30:00.000000000Z,SHORT,7000.00,0.00,0.65555,0.65555,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,5.7400,0
2025-09-01T10:30:00.000000000Z,2025-09-01T13:30:00.000000000Z,SHORT,7000.00,7000.00,0.65555,0.65538,EXIT,FLIP,1.70,1.70,1.1900,-3.10,6.9300,12
2025-09-01T13:30:00.000000000Z,2025-09-01T13:30:00.000000000Z,LONG,7000.00,0.00,0.65538,0.65538,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,6.9300,0
2025-09-01T13:30:00.000000000Z,2025-09-01T20:45:00.000000000Z,LONG,7000.00,7000.00,0.65538,0.65537,EXIT,FLIP,-0.10,-0.10,-0.0700,-4.50,6.8600,29
2025-09-01T20:45:00.000000000Z,2025-09-01T20:45:00.000000000Z,SHORT,7000.00,0.00,0.65537,0.65537,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,6.8600,0
2025-09-01T20:45:00.000000000Z,2025-09-01T23:15:00.000000000Z,SHORT,7000.00,7000.00,0.65537,0.65561,EXIT,FLIP,-2.40,-2.40,-1.6800,-2.50,5.1800,10
2025-09-01T23:15:00.000000000Z,2025-09-01T23:15:00.000000000Z,LONG,7000.00,0.00,0.65561,0.65561,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,5.1800,0
2025-09-01T23:15:00.000000000Z,2025-09-02T07:22:00.000000000Z,LONG,7000.00,7000.00,0.65561,0.65274,EXIT,SL,-28.70,-28.70,-20.0900,-30.50,-14.9100,31
2025-09-02T09:30:00.000000000Z,2025-09-02T09:30:00.000000000Z,LONG,7000.00,0.00,0.65104,0.65104,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-14.9100,0
2025-09-02T09:30:00.000000000Z,2025-09-02T15:30:00.000000000Z,LONG,7000.00,7000.00,0.65104,0.65151,EXIT,FLIP,4.70,4.70,3.2900,-27.20,-11.6200,24
2025-09-02T15:30:00.000000000Z,2025-09-02T15:30:00.000000000Z,SHORT,7000.00,0.00,0.65151,0.65151,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-11.6200,0
2025-09-02T15:30:00.000000000Z,2025-09-02T19:15:00.000000000Z,SHORT,7000.00,7000.00,0.65151,0.65185,EXIT,FLIP,-3.40,-3.40,-2.3800,-7.50,-14.0000,15
2025-09-02T19:15:00.000000000Z,2025-09-02T19:15:00.000000000Z,LONG,7000.00,0.00,0.65185,0.65185,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-14.0000,0
2025-09-02T19:15:00.000000000Z,2025-09-02T23:30:00.000000000Z,LONG,7000.00,7000.00,0.65185,0.65175,EXIT,FLIP,-1.00,-1.00,-0.7000,-5.40,-14.7000,17
2025-09-02T23:30:00.000000000Z,2025-09-02T23:30:00.000000000Z,SHORT,7000.00,0.00,0.65175,0.65175,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-14.7000,0
2025-09-02T23:30:00.000000000Z,2025-09-03T01:30:00.000000000Z,SHORT,7000.00,7000.00,0.65175,0.65237,EXIT,FLIP,-6.20,-6.20,-4.3400,-8.00,-19.0400,8
2025-09-03T01:30:00.000000000Z,2025-09-03T01:30:00.000000000Z,LONG,7000.00,0.00,0.65237,0.65237,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-19.0400,0
2025-09-03T01:30:00.000000000Z,2025-09-03T03:45:00.000000000Z,LONG,7000.00,7000.00,0.65237,0.65175,EXIT,FLIP,-6.20,-6.20,-4.3400,-6.90,-23.3800,9
2025-09-03T03:45:00.000000000Z,2025-09-03T03:45:00.000000000Z,SHORT,7000.00,0.00,0.65175,0.65175,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-23.3800,0
2025-09-03T03:45:00.000000000Z,2025-09-03T07:30:00.000000000Z,SHORT,7000.00,7000.00,0.65175,0.65159,EXIT,FLIP,1.60,1.60,1.1200,-4.70,-22.2600,15
2025-09-03T07:30:00.000000000Z,2025-09-03T07:30:00.000000000Z,LONG,7000.00,0.00,0.65159,0.65159,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-22.2600,0
2025-09-03T07:30:00.000000000Z,2025-09-03T10:30:00.000000000Z,LONG,7000.00,7000.00,0.65159,0.65243,EXIT,FLIP,8.40,8.40,5.8800,-0.70,-16.3800,12
2025-09-03T10:30:00.000000000Z,2025-09-03T10:30:00.000000000Z,SHORT,7000.00,0.00,0.65243,0.65243,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-16.3800,0
2025-09-03T10:30:00.000000000Z,2025-09-03T15:00:00.000000000Z,SHORT,7000.00,7000.00,0.65243,0.65495,EXIT,FLIP,-25.20,-25.20,-17.6400,-25.20,-34.0200,18
2025-09-03T15:00:00.000000000Z,2025-09-03T15:00:00.000000000Z,LONG,7000.00,0.00,0.65495,0.65495,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-34.0200,0
2025-09-03T15:00:00.000000000Z,2025-09-04T01:00:00.000000000Z,LONG,7000.00,7000.00,0.65495,0.65411,EXIT,FLIP,-8.40,-8.40,-5.8800,-10.60,-39.9000,40
2025-09-04T01:00:00.000000000Z,2025-09-04T01:00:00.000000000Z,SHORT,7000.00,0.00,0.65411,0.65411,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-39.9000,0
2025-09-04T01:00:00.000000000Z,2025-09-04T09:39:00.000000000Z,SHORT,7000.00,4550.00,0.65411,0.65218,TP1,TP1,19.30,12.54,8.7815,-7.70,-31.1185,33
2025-09-04T01:00:00.000000000Z,2025-09-04T09:39:00.000000000Z,SHORT,7000.00,2450.00,0.65411,0.65218,RUNNER,RUNNER_STOP,19.30,6.75,4.7285,-7.70,-26.3900,33
2025-09-04T12:00:00.000000000Z,2025-09-04T12:00:00.000000000Z,LONG,7000.00,0.00,0.65206,0.65206,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-26.3900,0
2025-09-04T12:00:00.000000000Z,2025-09-04T15:00:00.000000000Z,LONG,7000.00,7000.00,0.65206,0.65039,EXIT,FLIP,-16.70,-16.70,-11.6900,-19.20,-38.0800,12
2025-09-04T15:00:00.000000000Z,2025-09-04T15:00:00.000000000Z,SHORT,7000.00,0.00,0.65039,0.65039,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-38.0800,0
2025-09-04T15:00:00.000000000Z,2025-09-05T04:00:00.000000000Z,SHORT,7000.00,7000.00,0.65039,0.65326,EXIT,SL,-28.70,-28.70,-20.0900,-27.30,-58.1700,51
2025-09-05T05:15:00.000000000Z,2025-09-05T05:15:00.000000000Z,LONG,7000.00,0.00,0.65317,0.65317,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-58.1700,0
2025-09-05T05:15:00.000000000Z,2025-09-05T09:15:00.000000000Z,LONG,7000.00,7000.00,0.65317,0.65433,EXIT,FLIP,11.60,11.60,8.1200,-1.70,-50.0500,16
2025-09-05T09:15:00.000000000Z,2025-09-05T09:15:00.000000000Z,SHORT,7000.00,0.00,0.65433,0.65433,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-50.0500,0
2025-09-05T09:15:00.000000000Z,2025-09-05T12:30:00.000000000Z,SHORT,7000.00,7000.00,0.65433,0.65720,EXIT,SL,-28.70,-28.70,-20.0900,-30.50,-70.1400,12
2025-09-05T14:15:00.000000000Z,2025-09-05T14:15:00.000000000Z,SHORT,7000.00,0.00,0.65613,0.65613,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-70.1400,0
2025-09-05T14:15:00.000000000Z,2025-09-05T19:00:00.000000000Z,SHORT,7000.00,7000.00,0.65613,0.65537,EXIT,FLIP,7.60,7.60,5.3200,-9.10,-64.8200,19
2025-09-05T19:00:00.000000000Z,2025-09-05T19:00:00.000000000Z,LONG,7000.00,0.00,0.65537,0.65537,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-64.8200,0
