ts,comp_balance
2026-01-30T09:15:00.000000000Z,233.219500
2026-01-30T09:55:00.000000000Z,238.740055
2026-01-30T09:55:00.000000000Z,251.621350
2026-01-30T13:51:00.000000000Z,257.559865
2026-01-30T13:51:00.000000000Z,271.416400
2026-01-30T16:03:00.000000000Z,239.867020
2026-01-30T21:45:00.000000000Z,223.705270
2026-02-01T22:59:00.000000000Z,229.020715
2026-02-01T22:59:00.000000000Z,241.424065
2026-02-02T04:01:00.000000000Z,247.165210
2026-02-02T04:01:00.000000000Z,260.559280
2026-02-02T07:55:00.000000000Z,266.784175
2026-02-02T07:55:00.000000000Z,281.310220
2026-02-02T14:30:00.000000000Z,267.005580
2026-02-03T03:30:00.000000000Z,273.350445
2026-02-03T03:30:00.000000000Z,288.155130
2026-02-03T07:32:00.000000000Z,254.568735
2026-02-03T09:25:00.000000000Z,260.559495
2026-02-03T09:25:00.000000000Z,274.539870
2026-02-03T17:15:00.000000000Z,283.809310
2026-02-03T19:05:00.000000000Z,290.502475
2026-02-03T19:05:00.000000000Z,306.121795
2026-02-04T02:15:00.000000000Z,301.527505
2026-02-04T04:00:00.000000000Z,299.202475
2026-02-04T07:15:00.000000000Z,303.937075
2026-02-04T11:45:00.000000000Z,311.455325
2026-02-04T14:30:00.000000000Z,310.317635
2026-02-04T15:34:00.000000000Z,317.630000
2026-02-04T15:34:00.000000000Z,334.690895
2026-02-04T17:40:00.000000000Z,295.663865
2026-02-05T02:14:00.000000000Z,302.655020
2026-02-05T02:14:00.000000000Z,318.965135
2026-02-05T14:30:00.000000000Z,313.490855
2026-02-05T15:26:00.000000000Z,276.813125
2026-02-05T21:07:00.000000000Z,244.372730
2026-02-06T02:01:00.000000000Z,250.214495
2026-02-06T02:01:00.000000000Z,263.846570
2026-02-06T08:20:00.000000000Z,232.792835
2026-02-06T14:33:00.000000000Z,238.307585
2026-02-06T14:33:00.000000000Z,251.173400
2026-02-06T18:30:00.000000000Z,234.007160
2026-02-06T21:45:00.000000000Z,224.890040
2026-02-09T03:00:00.000000000Z,210.084860
2026-02-09T03:45:00.000000000Z,203.696360
2026-02-09T05:00:00.000000000Z,199.314320
2026-02-09T07:15:00.000000000Z,203.760520
2026-02-09T11:30:00.000000000Z,203.677950
2026-02-09T13:05:00.000000000Z,208.469010
2026-02-09T13:05:00.000000000Z,219.649440
2026-02-09T21:45:00.000000000Z,210.105480
2026-02-10T06:12:00.000000000Z,185.924880
2026-02-10T09:45:00.000000000Z,189.297630
2026-02-10T13:45:00.000000000Z,187.848690
2026-02-10T15:00:00.000000000Z,189.210570
2026-02-10T19:00:00.000000000Z,192.562930
2026-02-11T01:43:00.000000000Z,197.067610
2026-02-11T01:43:00.000000000Z,207.576595
2026-02-11T11:30:00.000000000Z,211.737595
2026-02-11T13:30:00.000000000Z,216.662170
2026-02-11T13:30:00.000000000Z,228.150265
2026-02-11T14:18:00.000000000Z,233.454100
2026-02-11T14:18:00.000000000Z,245.830360
2026-02-11T21:45:00.000000000Z,250.643140
2026-02-12T02:15:00.000000000Z,255.553430
2026-02-12T04:50:00.000000000Z,261.480335
2026-02-12T04:50:00.000000000Z,275.309780
2026-02-12T12:15:00.000000000Z,280.928450
2026-02-12T16:13:00.000000000Z,287.449400
2026-02-12T16:13:00.000000000Z,302.666240
2026-02-12T18:30:00.000000000Z,298.770880
2026-02-13T06:29:00.000000000Z,264.359365
2026-02-13T10:00:00.000000000Z,271.081465
2026-02-13T11:52:00.000000000Z,277.426330
2026-02-13T11:52:00.000000000Z,292.232950
2026-02-13T13:30:00.000000000Z,299.086720
2026-02-13T13:30:00.000000000Z,315.077560
2026-02-13T16:45:00.000000000Z,305.793420
2026-02-13T19:15:00.000000000Z,319.480830
2026-02-13T21:45:00.000000000Z,325.140550
2026-02-16T02:00:00.000000000Z,334.178860
2026-02-16T05:45:00.000000000Z,324.763860
2026-02-16T07:00:00.000000000Z,320.454720
2026-02-16T12:00:00.000000000Z,319.294530
2026-02-17T01:54:00.000000000Z,282.502200
2026-02-17T07:00:00.000000000Z,288.207200
2026-02-17T14:15:00.000000000Z,301.467680
2026-02-17T18:18:00.000000000Z,308.542040
2026-02-17T18:18:00.000000000Z,325.051460
2026-02-18T13:52:00.000000000Z,332.646335
2026-02-18T13:52:00.000000000Z,350.365130
2026-02-19T14:25:00.000000000Z,309.854030
2026-02-19T18:30:00.000000000Z,306.222360
2026-02-19T19:30:00.000000000Z,295.583300
2026-02-19T20:30:00.000000000Z,287.453220
2026-02-20T01:50:00.000000000Z,254.173380
2026-02-20T07:07:00.000000000Z,260.156400
2026-02-20T07:07:00.000000000Z,274.113555
2026-02-20T13:15:00.000000000Z,260.688605
2026-02-20T15:01:00.000000000Z,266.803205
2026-02-20T15:01:00.000000000Z,281.069960
2026-02-22T23:30:00.000000000Z,248.606645
2026-02-23T02:05:00.000000000Z,254.403905
2026-02-23T02:05:00.000000000Z,267.927620
2026-02-23T07:30:00.000000000Z,273.650030
2026-02-23T12:24:00.000000000Z,280.047140
2026-02-23T12:24:00.000000000Z,294.971795
2026-02-24T12:20:00.000000000Z,260.892620
2026-02-24T16:12:00.000000000Z,267.020765
2026-02-24T16:12:00.000000000Z,281.318480
2026-02-24T20:30:00.000000000Z,278.934560
2026-02-25T02:14:00.000000000Z,285.467120
2026-02-25T02:14:00.000000000Z,300.707180
2026-02-25T09:38:00.000000000Z,307.704140
2026-02-25T09:38:00.000000000Z,324.031670
2026-02-25T15:18:00.000000000Z,331.601390
2026-02-25T15:18:00.000000000Z,349.266005
2026-02-26T00:15:00.000000000Z,341.295695
2026-02-26T02:15:00.000000000Z,339.247745
2026-02-26T04:30:00.000000000Z,333.139445
2026-02-26T06:45:00.000000000Z,335.936855
2026-02-26T09:00:00.000000000Z,351.111625
2026-02-26T13:30:00.000000000Z,341.411605
2026-02-26T15:15:00.000000000Z,349.354780
2026-02-26T15:15:00.000000000Z,367.888210
2026-02-26T21:30:00.000000000Z,386.365710
2026-02-27T00:00:00.000000000Z,384.196130
2026-02-27T05:20:00.000000000Z,393.139700
2026-02-27T05:20:00.000000000Z,414.008675
2026-02-27T09:15:00.000000000Z,426.759105
2026-02-27T13:40:00.000000000Z,377.801985
2026-02-27T20:00:00.000000000Z,379.162785
