ts,equity
2026-01-29T07:15:00.000000000Z,-2.2400
2026-01-29T08:00:00.000000000Z,-1.6100
2026-01-29T08:15:00.000000000Z,-5.0400
2026-01-29T09:45:00.000000000Z,-0.8400
2026-01-29T12:00:00.000000000Z,12.6840
2026-01-29T12:30:00.000000000Z,12.0540
2026-01-29T12:45:00.000000000Z,2.6040
2026-01-29T13:45:00.000000000Z,-0.9660
2026-01-29T14:00:00.000000000Z,-7.0560
2026-01-29T15:00:00.000000000Z,-18.6760
2026-01-29T15:15:00.000000000Z,-14.4760
2026-01-29T16:30:00.000000000Z,-4.6760
2026-01-29T18:30:00.000000000Z,-11.5360
2026-01-29T19:00:00.000000000Z,-19.2360
2026-01-29T19:15:00.000000000Z,-24.4160
2026-01-29T19:30:00.000000000Z,-27.5660
2026-01-29T20:00:00.000000000Z,-28.8960
2026-01-29T22:00:00.000000000Z,-20.9860
2026-01-29T22:15:00.000000000Z,-22.0360
2026-01-29T23:45:00.000000000Z,-22.5960
2026-01-30T00:15:00.000000000Z,-18.3960
2026-01-30T01:30:00.000000000Z,-3.0590
2026-01-30T01:45:00.000000000Z,-16.4290
2026-01-30T02:15:00.000000000Z,-12.2290
2026-01-30T02:30:00.000000000Z,-2.4290
2026-01-30T03:15:00.000000000Z,-3.7590
2026-01-30T03:45:00.000000000Z,-6.0690
2026-01-30T05:15:00.000000000Z,-3.0590
2026-01-30T05:45:00.000000000Z,-3.3390
2026-01-30T06:15:00.000000000Z,-7.9590
2026-01-30T07:15:00.000000000Z,-14.8190
2026-01-30T08:15:00.000000000Z,-10.9690
2026-01-30T09:45:00.000000000Z,-6.7690
2026-01-30T10:15:00.000000000Z,3.0310
2026-01-30T11:45:00.000000000Z,7.2310
2026-01-30T12:45:00.000000000Z,17.0310
2026-01-30T14:30:00.000000000Z,16.1910
2026-01-30T14:45:00.000000000Z,10.7310
2026-01-30T15:30:00.000000000Z,14.9310
2026-01-30T15:45:00.000000000Z,24.7310
2026-01-30T17:00:00.000000000Z,14.5810
2026-01-30T17:15:00.000000000Z,6.2510
2026-01-30T17:30:00.000000000Z,-1.1690
2026-01-30T18:45:00.000000000Z,-5.0190
2026-01-30T19:15:00.000000000Z,-9.4990
2026-01-30T19:30:00.000000000Z,-12.9290
2026-01-30T19:45:00.000000000Z,-18.3190
2026-02-01T22:15:00.000000000Z,-14.1190
2026-02-01T22:30:00.000000000Z,-4.3190
2026-02-01T23:45:00.000000000Z,-10.6190
2026-02-02T00:00:00.000000000Z,-28.7490
2026-02-02T01:00:00.000000000Z,-41.1390
2026-02-02T01:15:00.000000000Z,-46.5990
2026-02-02T02:45:00.000000000Z,-45.9690
2026-02-02T03:15:00.000000000Z,-49.6090
2026-02-02T03:45:00.000000000Z,-52.6190
2026-02-02T04:00:00.000000000Z,-55.4890
2026-02-02T04:15:00.000000000Z,-58.8490
2026-02-02T05:45:00.000000000Z,-54.6490
2026-02-02T06:00:00.000000000Z,-44.8490
2026-02-02T07:30:00.000000000Z,-42.0490
2026-02-02T08:00:00.000000000Z,-45.5490
2026-02-02T08:30:00.000000000Z,-49.1890
2026-02-02T09:15:00.000000000Z,-49.4690
2026-02-02T10:30:00.000000000Z,-47.2990
2026-02-02T10:45:00.000000000Z,-50.5890
2026-02-02T11:30:00.000000000Z,-52.3390
2026-02-02T11:45:00.000000000Z,-54.0190
2026-02-02T12:00:00.000000000Z,-59.5490
2026-02-02T13:00:00.000000000Z,-55.3490
2026-02-02T14:30:00.000000000Z,-38.9830
2026-02-02T15:00:00.000000000Z,-50.3930
2026-02-02T16:00:00.000000000Z,-48.2230
2026-02-02T17:15:00.000000000Z,-47.9430
2026-02-02T18:00:00.000000000Z,-43.7430
2026-02-02T19:45:00.000000000Z,-33.9430
2026-02-02T20:30:00.000000000Z,-35.4830
2026-02-02T21:45:00.000000000Z,-32.4030
2026-02-02T22:15:00.000000000Z,-32.9630
2026-02-02T22:30:00.000000000Z,-33.1730
2026-02-02T23:00:00.000000000Z,-35.1330
2026-02-03T01:45:00.000000000Z,-30.9330
2026-02-03T02:15:00.000000000Z,-21.1330
2026-02-03T03:15:00.000000000Z,-19.5930
2026-02-03T04:30:00.000000000Z,-14.5530
2026-02-03T05:15:00.000000000Z,-13.5730
2026-02-03T05:45:00.000000000Z,-14.5530
2026-02-03T06:00:00.000000000Z,-18.1230
2026-02-03T06:45:00.000000000Z,-18.1930
2026-02-03T07:00:00.000000000Z,-22.1130
2026-02-03T07:45:00.000000000Z,-25.0530
2026-02-03T08:30:00.000000000Z,-24.2130
2026-02-03T09:00:00.000000000Z,-29.4630
2026-02-03T11:00:00.000000000Z,-25.2630
2026-02-03T11:30:00.000000000Z,-15.4630
2026-02-03T13:15:00.000000000Z,-11.2630
2026-02-03T14:30:00.000000000Z,-11.4030
2026-02-03T14:45:00.000000000Z,-15.2530
2026-02-03T15:00:00.000000000Z,-18.6830
2026-02-03T16:00:00.000000000Z,-14.4830
2026-02-03T18:45:00.000000000Z,-4.6830
2026-02-03T20:15:00.000000000Z,-5.8030
2026-02-03T20:30:00.000000000Z,-8.8130
2026-02-03T21:45:00.000000000Z,-7.6930
2026-02-03T22:30:00.000000000Z,-9.3730
2026-02-03T22:45:00.000000000Z,-10.9130
2026-02-04T00:15:00.000000000Z,-8.6030
2026-02-04T00:45:00.000000000Z,-8.9530
2026-02-04T01:00:00.000000000Z,-13.2230
2026-02-04T02:15:00.000000000Z,-10.2130
2026-02-04T02:30:00.000000000Z,-10.7030
2026-02-04T02:45:00.000000000Z,-13.0130
2026-02-04T03:00:00.000000000Z,-14.4130
2026-02-04T03:15:00.000000000Z,-14.9030
2026-02-04T03:45:00.000000000Z,-17.4930
2026-02-04T05:45:00.000000000Z,-13.4330
2026-02-04T06:00:00.000000000Z,-15.2530
2026-02-04T06:15:00.000000000Z,-17.0730
2026-02-04T07:45:00.000000000Z,-16.4430
2026-02-04T08:15:00.000000000Z,-17.9130
2026-02-04T09:00:00.000000000Z,-17.6330
2026-02-04T09:15:00.000000000Z,-19.8730
2026-02-04T10:30:00.000000000Z,-15.6730
2026-02-04T10:45:00.000000000Z,-5.8730
2026-02-04T11:30:00.000000000Z,-9.1630
2026-02-04T11:45:00.000000000Z,-11.1230
2026-02-04T12:00:00.000000000Z,-12.6630
2026-02-04T13:15:00.000000000Z,-11.6830
2026-02-04T13:30:00.000000000Z,-14.6230
2026-02-04T14:00:00.000000000Z,-21.8330
2026-02-04T14:30:00.000000000Z,-26.4530
2026-02-04T15:15:00.000000000Z,-29.7430
2026-02-04T16:45:00.000000000Z,-24.7730
2026-02-04T17:30:00.000000000Z,-29.5330
2026-02-04T18:30:00.000000000Z,-32.8930
2026-02-04T19:00:00.000000000Z,-33.7330
2026-02-04T19:30:00.000000000Z,-36.5330
2026-02-04T20:15:00.000000000Z,-37.2330
2026-02-04T20:30:00.000000000Z,-38.4930
2026-02-04T20:45:00.000000000Z,-38.8430
2026-02-04T21:15:00.000000000Z,-40.1730
2026-02-04T22:15:00.000000000Z,-40.4530
2026-02-04T22:30:00.000000000Z,-40.5930
2026-02-04T23:15:00.000000000Z,-41.8530
2026-02-05T00:45:00.000000000Z,-42.4130
2026-02-05T01:15:00.000000000Z,-43.1130
2026-02-05T01:30:00.000000000Z,-44.5130
2026-02-05T01:45:00.000000000Z,-45.6330
2026-02-05T03:00:00.000000000Z,-41.4330
2026-02-05T03:15:00.000000000Z,-31.6330
2026-02-05T04:00:00.000000000Z,-32.4730
2026-02-05T04:15:00.000000000Z,-33.7330
2026-02-05T04:45:00.000000000Z,-35.4130
2026-02-05T05:30:00.000000000Z,-36.2530
2026-02-05T06:00:00.000000000Z,-38.6330
2026-02-05T06:30:00.000000000Z,-41.7830
2026-02-05T09:00:00.000000000Z,-39.6130
2026-02-05T10:30:00.000000000Z,-37.4430
2026-02-05T10:45:00.000000000Z,-38.9130
2026-02-05T11:00:00.000000000Z,-40.0330
2026-02-05T13:00:00.000000000Z,-37.0930
2026-02-05T13:15:00.000000000Z,-42.6930
2026-02-05T14:15:00.000000000Z,-38.4930
2026-02-05T14:30:00.000000000Z,-28.6930
2026-02-05T15:00:00.000000000Z,-35.4830
2026-02-05T15:15:00.000000000Z,-46.4730
2026-02-05T16:30:00.000000000Z,-49.2730
2026-02-05T17:45:00.000000000Z,-45.8430
2026-02-05T18:30:00.000000000Z,-45.2130
2026-02-05T18:45:00.000000000Z,-49.7630
2026-02-05T22:30:00.000000000Z,-41.7830
2026-02-05T23:00:00.000000000Z,-45.4930
2026-02-05T23:30:00.000000000Z,-46.4730
2026-02-05T23:45:00.000000000Z,-47.6630
2026-02-06T00:30:00.000000000Z,-48.1530
2026-02-06T02:45:00.000000000Z,-40.8730
2026-02-06T03:00:00.000000000Z,-42.3430
2026-02-06T03:45:00.000000000Z,-43.8130
2026-02-06T04:00:00.000000000Z,-45.2130
2026-02-06T05:30:00.000000000Z,-41.0130
2026-02-06T05:45:00.000000000Z,-42.9730
2026-02-06T06:45:00.000000000Z,-43.8130
2026-02-06T08:45:00.000000000Z,-40.3130
2026-02-06T09:45:00.000000000Z,-40.4530
2026-02-06T10:00:00.000000000Z,-45.3530
2026-02-06T10:15:00.000000000Z,-50.6730
2026-02-06T10:30:00.000000000Z,-52.8430
2026-02-06T10:45:00.000000000Z,-54.4530
2026-02-06T12:15:00.000000000Z,-54.1730
2026-02-06T12:30:00.000000000Z,-55.2930
2026-02-06T12:45:00.000000000Z,-57.1130
2026-02-06T14:00:00.000000000Z,-52.9130
2026-02-06T18:45:00.000000000Z,-40.0260
2026-02-06T19:30:00.000000000Z,-39.8160
2026-02-06T21:15:00.000000000Z,-37.9960
