entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars
2026-02-16T03:10:00.000000000Z,2026-02-16T03:10:00.000000000Z,LONG,240.00,0.00,0.70835,0.70835,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0
2026-02-16T03:10:00.000000000Z,2026-02-16T03:45:00.000000000Z,LONG,240.00,240.00,0.70835,0.70821,EXIT,FLIP,-1.40,-1.40,-0.0336,-2.00,-0.0336,7
2026-02-16T03:45:00.000000000Z,2026-02-16T03:45:00.000000000Z,SHORT,240.00,0.00,0.70821,0.70821,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.0336,0
2026-02-16T03:45:00.000000000Z,2026-02-16T04:00:00.000000000Z,SHORT,240.00,240.00,0.70821,0.70883,EXIT,FLIP,-6.20,-6.20,-0.1488,-5.80,-0.1824,3
2026-02-16T04:00:00.000000000Z,2026-02-16T04:00:00.000000000Z,LONG,240.00,0.00,0.70883,0.70883,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.1824,0
2026-02-16T04:00:00.000000000Z,2026-02-16T04:20:00.000000000Z,LONG,240.00,240.00,0.70883,0.70838,EXIT,FLIP,-4.50,-4.50,-0.1080,-6.10,-0.2904,4
2026-02-16T04:20:00.000000000Z,2026-02-16T04:20:00.000000000Z,SHORT,240.00,0.00,0.70838,0.70838,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.2904,0
2026-02-16T04:20:00.000000000Z,2026-02-16T05:05:00.000000000Z,SHORT,240.00,240.00,0.70838,0.70874,EXIT,FLIP,-3.60,-3.60,-0.0864,-3.80,-0.3768,9
2026-02-16T05:05:00.000000000Z,2026-02-16T05:05:00.000000000Z,LONG,240.00,0.00,0.70874,0.70874,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.3768,0
2026-02-16T05:05:00.000000000Z,2026-02-16T06:30:00.000000000Z,LONG,240.00,240.00,0.70874,0.70881,EXIT,FLIP,0.70,0.70,0.0168,-3.20,-0.3600,17
2026-02-16T06:30:00.000000000Z,2026-02-16T06:30:00.000000000Z,SHORT,240.00,0.00,0.70881,0.70881,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.3600,0
2026-02-16T06:30:00.000000000Z,2026-02-16T07:35:00.000000000Z,SHORT,240.00,240.00,0.70881,0.70870,EXIT,FLIP,1.10,1.10,0.0264,-7.00,-0.3336,13
2026-02-16T07:35:00.000000000Z,2026-02-16T07:35:00.000000000Z,LONG,240.00,0.00,0.70870,0.70870,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.3336,0
2026-02-16T07:35:00.000000000Z,2026-02-16T08:35:00.000000000Z,LONG,240.00,240.00,0.70870,0.70847,EXIT,FLIP,-2.30,-2.30,-0.0552,-4.40,-0.3888,12
2026-02-16T08:35:00.000000000Z,2026-02-16T08:35:00.000000000Z,SHORT,240.00,0.00,0.70847,0.70847,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.3888,0
2026-02-16T08:35:00.000000000Z,2026-02-16T10:15:00.000000000Z,SHORT,240.00,240.00,0.70847,0.70859,EXIT,FLIP,-1.20,-1.20,-0.0288,-12.00,-0.4176,20
2026-02-16T10:15:00.000000000Z,2026-02-16T10:15:00.000000000Z,LONG,240.00,0.00,0.70859,0.70859,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.4176,0
2026-02-16T10:15:00.000000000Z,2026-02-16T11:00:00.000000000Z,LONG,240.00,240.00,0.70859,0.70829,EXIT,FLIP,-3.00,-3.00,-0.0720,-2.80,-0.4896,9
2026-02-16T11:00:00.000000000Z,2026-02-16T11:00:00.000000000Z,SHORT,240.00,0.00,0.70829,0.70829,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.4896,0
2026-02-16T11:00:00.000000000Z,2026-02-16T11:30:00.000000000Z,SHORT,240.00,240.00,0.70829,0.70832,EXIT,FLIP,-0.30,-0.30,-0.0072,-1.10,-0.4968,6
2026-02-16T11:30:00.000000000Z,2026-02-16T11:30:00.000000000Z,LONG,240.00,0.00,0.70832,0.70832,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.4968,0
2026-02-16T11:30:00.000000000Z,2026-02-16T12:30:00.000000000Z,LONG,240.00,240.00,0.70832,0.70811,EXIT,FLIP,-2.10,-2.10,-0.0504,-2.40,-0.5472,12
2026-02-16T12:30:00.000000000Z,2026-02-16T12:30:00.000000000Z,SHORT,240.00,0.00,0.70811,0.70811,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.5472,0
2026-02-16T12:30:00.000000000Z,2026-02-16T13:45:00.000000000Z,SHORT,240.00,240.00,0.70811,0.70862,EXIT,FLIP,-5.10,-5.10,-0.1224,-7.00,-0.6696,15
2026-02-16T13:45:00.000000000Z,2026-02-16T13:45:00.000000000Z,LONG,240.00,0.00,0.70862,0.70862,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.6696,0
2026-02-16T13:45:00.000000000Z,2026-02-16T14:25:00.000000000Z,LONG,240.00,240.00,0.70862,0.70825,EXIT,FLIP,-3.70,-3.70,-0.0888,-6.00,-0.7584,8
2026-02-16T14:25:00.000000000Z,2026-02-16T14:25:00.000000000Z,SHORT,240.00,0.00,0.70825,0.70825,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.7584,0
2026-02-16T14:25:00.000000000Z,2026-02-16T15:35:00.000000000Z,SHORT,240.00,240.00,0.70825,0.70723,EXIT,FLIP,10.20,10.20,0.2448,-1.60,-0.5136,14
2026-02-16T15:35:00.000000000Z,2026-02-16T15:35:00.000000000Z,LONG,240.00,0.00,0.70723,0.70723,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.5136,0
2026-02-16T15:35:00.000000000Z,2026-02-16T17:35:00.000000000Z,LONG,240.00,240.00,0.70723,0.70732,EXIT,FLIP,0.90,0.90,0.0216,-5.10,-0.4920,24
2026-02-16T17:35:00.000000000Z,2026-02-16T17:35:00.000000000Z,SHORT,240.00,0.00,0.70732,0.70732,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.4920,0
