entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars
2026-02-05T13:18:00.000000000Z,2026-02-05T13:18:00.000000000Z,SHORT,1000.00,0.00,0.69686,0.69686,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0
2026-02-05T13:18:00.000000000Z,2026-02-05T14:09:00.000000000Z,SHORT,1000.00,1000.00,0.69686,0.69712,EXIT,FLIP,-2.60,-2.60,-0.2600,-12.60,-0.2600,17
2026-02-05T14:09:00.000000000Z,2026-02-05T14:09:00.000000000Z,LONG,1000.00,0.00,0.69712,0.69712,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.2600,0
2026-02-05T14:09:00.000000000Z,2026-02-05T14:54:00.000000000Z,LONG,1000.00,1000.00,0.69712,0.69710,EXIT,FLIP,-0.20,-0.20,-0.0200,-12.00,-0.2800,15
2026-02-05T14:54:00.000000000Z,2026-02-05T14:54:00.000000000Z,SHORT,1000.00,0.00,0.69710,0.69710,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-0.2800,0
2026-02-05T14:54:00.000000000Z,2026-02-05T15:26:00.000000000Z,SHORT,1000.00,300.00,0.69710,0.69516,TP1,TP1,19.40,5.82,0.5820,-6.00,0.3020,5
2026-02-05T14:54:00.000000000Z,2026-02-05T15:26:00.000000000Z,SHORT,1000.00,700.00,0.69710,0.69516,RUNNER,RUNNER_STOP,19.40,13.58,1.3580,-6.00,1.6600,5
2026-02-05T15:18:00.000000000Z,2026-02-05T15:18:00.000000000Z,SHORT,1000.00,0.00,0.69592,0.69592,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,1.6600,0
2026-02-05T15:18:00.000000000Z,2026-02-05T15:51:00.000000000Z,SHORT,1000.00,1000.00,0.69592,0.69503,EXIT,FLIP,8.90,8.90,0.8900,-4.80,2.5500,11
2026-02-05T15:51:00.000000000Z,2026-02-05T15:51:00.000000000Z,LONG,1000.00,0.00,0.69503,0.69503,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,2.5500,0
2026-02-05T15:51:00.000000000Z,2026-02-05T16:34:00.000000000Z,LONG,1000.00,300.00,0.69503,0.69697,TP1,TP1,19.40,5.82,0.5820,-4.50,3.1320,9
2026-02-05T15:51:00.000000000Z,2026-02-05T16:34:00.000000000Z,LONG,1000.00,700.00,0.69503,0.69697,RUNNER,RUNNER_STOP,19.40,13.58,1.3580,-4.50,4.4900,9
2026-02-05T16:39:00.000000000Z,2026-02-05T16:39:00.000000000Z,SHORT,1000.00,0.00,0.69670,0.69670,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,4.4900,0
