entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars,comp_units_opened,comp_units_closed,comp_pnl_usd,comp_balance
2026-01-30T02:45:00.000000000Z,2026-01-30T02:45:00.000000000Z,LONG,8000.00,0.00,0.70054,0.70054,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0,10170,0,0.000000,250.000000
2026-01-30T02:45:00.000000000Z,2026-01-30T09:15:00.000000000Z,LONG,8000.00,8000.00,0.70054,0.69890,EXIT,FLIP,-16.50,-16.50,-13.2000,-23.45,-13.2000,26,0,10170,-16.780500,233.219500
2026-01-30T09:15:00.000000000Z,2026-01-30T09:15:00.000000000Z,SHORT,8000.00,0.00,0.69890,0.69890,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-13.2000,0,9510,0,0.000000,233.219500
2026-01-30T09:15:00.000000000Z,2026-01-30T09:55:00.000000000Z,SHORT,8000.00,2400.00,0.69890,0.69696,TP1,TP1,19.35,5.81,4.6440,-6.15,-8.5560,1,0,2853,5.520555,238.740055
2026-01-30T09:15:00.000000000Z,2026-01-30T09:55:00.000000000Z,SHORT,8000.00,5600.00,0.69890,0.69696,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-6.15,2.2800,1,0,6657,12.881295,251.621350
2026-01-30T12:30:00.000000000Z,2026-01-30T12:30:00.000000000Z,SHORT,8000.00,0.00,0.70098,0.70098,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,2.2800,0,10230,0,0.000000,251.621350
2026-01-30T12:30:00.000000000Z,2026-01-30T13:51:00.000000000Z,SHORT,8000.00,2400.00,0.70098,0.69904,TP1,TP1,19.35,5.81,4.6440,-9.95,6.9240,4,0,3069,5.938515,257.559865
2026-01-30T12:30:00.000000000Z,2026-01-30T13:51:00.000000000Z,SHORT,8000.00,5600.00,0.70098,0.69904,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-9.95,17.7600,4,0,7161,13.856535,271.416400
2026-01-30T15:30:00.000000000Z,2026-01-30T15:30:00.000000000Z,LONG,8000.00,0.00,0.70240,0.70240,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,17.7600,0,11012,0,0.000000,271.416400
2026-01-30T15:30:00.000000000Z,2026-01-30T16:03:00.000000000Z,LONG,8000.00,8000.00,0.70240,0.69954,EXIT,SL,-28.65,-28.65,-22.9200,-28.25,-5.1600,1,0,11012,-31.549380,239.867020
2026-01-30T18:45:00.000000000Z,2026-01-30T18:45:00.000000000Z,LONG,8000.00,0.00,0.69788,0.69788,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-5.1600,0,9795,0,0.000000,239.867020
2026-01-30T18:45:00.000000000Z,2026-01-30T21:45:00.000000000Z,LONG,8000.00,8000.00,0.69788,0.69624,EXIT,FLIP,-16.50,-16.50,-13.2000,-17.85,-18.3600,12,0,9795,-16.161750,223.705270
2026-01-30T21:45:00.000000000Z,2026-01-30T21:45:00.000000000Z,SHORT,8000.00,0.00,0.69624,0.69624,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-18.3600,0,9157,0,0.000000,223.705270
2026-01-30T21:45:00.000000000Z,2026-02-01T22:59:00.000000000Z,SHORT,8000.00,2400.00,0.69624,0.69430,TP1,TP1,19.35,5.81,4.6440,0.00,-13.7160,3,0,2747,5.315445,229.020715
2026-01-30T21:45:00.000000000Z,2026-02-01T22:59:00.000000000Z,SHORT,8000.00,5600.00,0.69624,0.69430,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,0.00,-2.8800,3,0,6410,12.403350,241.424065
2026-02-02T02:15:00.000000000Z,2026-02-02T02:15:00.000000000Z,SHORT,8000.00,0.00,0.69576,0.69576,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-2.8800,0,9889,0,0.000000,241.424065
2026-02-02T02:15:00.000000000Z,2026-02-02T04:01:00.000000000Z,SHORT,8000.00,2400.00,0.69576,0.69382,TP1,TP1,19.35,5.81,4.6440,-9.05,1.7640,6,0,2967,5.741145,247.165210
2026-02-02T02:15:00.000000000Z,2026-02-02T04:01:00.000000000Z,SHORT,8000.00,5600.00,0.69576,0.69382,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-9.05,12.6000,6,0,6922,13.394070,260.559280
2026-02-02T06:45:00.000000000Z,2026-02-02T06:45:00.000000000Z,LONG,8000.00,0.00,0.69240,0.69240,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,12.6000,0,10724,0,0.000000,260.559280
2026-02-02T06:45:00.000000000Z,2026-02-02T07:55:00.000000000Z,LONG,8000.00,2400.00,0.69240,0.69434,TP1,TP1,19.35,5.81,4.6440,-1.45,17.2440,3,0,3217,6.224895,266.784175
2026-02-02T06:45:00.000000000Z,2026-02-02T07:55:00.000000000Z,LONG,8000.00,5600.00,0.69240,0.69434,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-1.45,28.0800,3,0,7507,14.526045,281.310220
2026-02-02T10:30:00.000000000Z,2026-02-02T10:30:00.000000000Z,SHORT,8000.00,0.00,0.69497,0.69497,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,28.0800,0,11536,0,0.000000,281.310220
2026-02-02T10:30:00.000000000Z,2026-02-02T14:30:00.000000000Z,SHORT,8000.00,8000.00,0.69497,0.69620,EXIT,FLIP,-12.40,-12.40,-9.9200,-21.05,18.1600,16,0,11536,-14.304640,267.005580
2026-02-02T14:30:00.000000000Z,2026-02-02T14:30:00.000000000Z,LONG,8000.00,0.00,0.69620,0.69620,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,18.1600,0,10930,0,0.000000,267.005580
2026-02-02T14:30:00.000000000Z,2026-02-03T03:30:00.000000000Z,LONG,8000.00,2400.00,0.69620,0.69814,TP1,TP1,19.35,5.81,4.6440,-26.35,22.8040,51,0,3279,6.344865,273.350445
