start_ts,end_ts,direction,move_pips,missed,no_intent_window,hour,weekday,sum_volume_m1,avg_volume_m1
2026-02-19T13:53:00Z,2026-02-19T15:23:00Z,DOWN,29.6,1,0,13,3,17104,190.0444
2026-02-19T15:48:00Z,2026-02-19T17:18:00Z,DOWN,21.8,1,0,15,3,11436,127.0667
2026-02-20T00:57:00Z,2026-02-20T02:27:00Z,DOWN,34.9,1,0,0,4,7868,87.4222
2026-02-20T15:01:00Z,2026-02-20T16:31:00Z,DOWN,41.1,1,0,15,4,45520,505.7778
2026-02-22T23:59:00Z,2026-02-23T01:29:00Z,DOWN,35.4,0,0,23,6,9688,107.6444
2026-02-23T11:03:00Z,2026-02-23T12:33:00Z,DOWN,23.4,1,1,11,0,5761,64.0111
2026-02-23T14:37:00Z,2026-02-23T16:07:00Z,DOWN,31.5,1,0,14,0,14081,156.4556
2026-02-25T07:04:00Z,2026-02-25T08:34:00Z,DOWN,21.1,1,0,7,2,5109,56.7667
2026-02-25T09:20:00Z,2026-02-25T10:50:00Z,DOWN,20.9,1,1,9,2,5376,59.7333
2026-02-26T01:24:00Z,2026-02-26T02:54:00Z,DOWN,21.3,0,0,1,3,5738,63.7556
2026-02-26T06:50:00Z,2026-02-26T08:20:00Z,DOWN,21.8,1,1,6,3,6035,67.0556
2026-02-26T13:58:00Z,2026-02-26T15:28:00Z,DOWN,44.7,1,1,13,3,16197,179.9667
2026-02-27T12:21:00Z,2026-02-27T13:51:00Z,DOWN,27.8,1,0,12,4,9676,107.5111
2026-03-01T23:09:00Z,2026-03-02T00:39:00Z,DOWN,32.1,1,0,23,6,12396,137.7333
2026-03-02T05:53:00Z,2026-03-02T07:23:00Z,DOWN,30.9,1,1,5,0,11521,128.0111
2026-03-02T11:49:00Z,2026-03-02T13:19:00Z,DOWN,35.0,1,0,11,0,9484,105.3778
2026-03-02T19:38:00Z,2026-03-02T21:08:00Z,DOWN,33.9,0,0,19,0,11703,130.0333
2026-03-03T01:26:00Z,2026-03-03T02:56:00Z,DOWN,34.3,1,0,1,1,12655,140.6111
2026-03-03T14:08:00Z,2026-03-03T15:38:00Z,DOWN,71.6,1,1,14,1,34641,384.9
2026-03-03T18:50:00Z,2026-03-03T20:20:00Z,DOWN,20.1,0,0,18,1,17764,197.3778
2026-03-03T23:56:00Z,2026-03-04T01:26:00Z,DOWN,52.9,1,0,23,1,16157,179.5222
2026-03-04T07:49:00Z,2026-03-04T09:19:00Z,DOWN,30.5,0,0,7,2,14241,158.2333
2026-03-05T07:02:00Z,2026-03-05T08:32:00Z,DOWN,40.3,1,0,7,3,10977,121.9667
2026-03-05T15:00:00Z,2026-03-05T16:30:00Z,DOWN,60.8,1,0,15,3,23154,257.2667
2026-03-06T08:54:00Z,2026-03-06T10:24:00Z,DOWN,44.3,1,0,8,4,11365,126.2778
2026-03-08T22:32:00Z,2026-03-09T00:02:00Z,DOWN,25.2,1,1,22,6,12128,134.7556
2026-03-09T07:56:00Z,2026-03-09T09:26:00Z,DOWN,30.8,0,0,7,0,17465,194.0556
2026-03-09T13:32:00Z,2026-03-09T15:02:00Z,DOWN,22.2,0,0,13,0,36205,402.2778
2026-03-09T16:48:00Z,2026-03-09T18:18:00Z,DOWN,23.5,1,0,16,0,8766,97.4
2026-03-10T02:20:00Z,2026-03-10T03:50:00Z,DOWN,20.0,1,0,2,1,7829,86.9889
2026-03-10T07:51:00Z,2026-03-10T09:21:00Z,DOWN,25.4,0,0,7,1,10445,116.0556
2026-03-10T10:30:00Z,2026-03-10T12:00:00Z,DOWN,20.9,1,0,10,1,14818,164.6444
2026-03-10T17:28:00Z,2026-03-10T18:58:00Z,DOWN,44.2,0,0,17,1,24710,274.5556
2026-03-11T07:10:00Z,2026-03-11T08:40:00Z,DOWN,25.1,1,0,7,2,11881,132.0111
2026-03-11T11:25:00Z,2026-03-11T12:55:00Z,DOWN,23.4,1,0,11,2,14410,160.1111
2026-03-11T15:00:00Z,2026-03-11T16:30:00Z,DOWN,36.2,1,0,15,2,13908,154.5333
2026-03-11T21:59:00Z,2026-03-11T23:29:00Z,DOWN,24.0,1,0,21,2,4686,52.0667
2026-01-05T13:56:00Z,2026-01-05T15:26:00Z,UP,34.3,1,0,13,0,8821,98.0111
2026-01-07T00:31:00Z,2026-01-07T02:01:00Z,UP,30.3,0,0,0,2,9095,101.0556
2026-01-09T12:39:00Z,2026-01-09T14:09:00Z,UP,29.4,1,0,12,4,10748,119.4222
2026-01-09T15:11:00Z,2026-01-09T16:41:00Z,UP,24.4,1,0,15,4,9313,103.4778
2026-01-12T00:04:00Z,2026-01-12T01:34:00Z,UP,22.6,1,0,0,0,7077,78.6333
2026-01-13T13:17:00Z,2026-01-13T14:47:00Z,UP,29.7,1,0,13,1,13249,147.2111
2026-01-15T14:51:00Z,2026-01-15T16:21:00Z,UP,28.8,1,0,14,3,7000,77.7778
2026-01-18T22:23:00Z,2026-01-18T23:53:00Z,UP,20.4,0,0,22,6,4690,52.1111
2026-01-21T11:56:00Z,2026-01-21T13:26:00Z,UP,21.9,1,1,11,2,5345,59.3889
2026-01-22T00:28:00Z,2026-01-22T01:58:00Z,UP,41.3,1,1,0,3,8166,90.7333
2026-01-22T15:07:00Z,2026-01-22T16:37:00Z,UP,23.9,1,1,15,3,6900,76.6667
2026-01-23T14:03:00Z,2026-01-23T15:33:00Z,UP,23.2,1,0,14,4,5991,66.5667
2026-01-23T16:14:00Z,2026-01-23T17:44:00Z,UP,25.8,1,0,16,4,8108,90.0889
2026-01-26T13:38:00Z,2026-01-26T15:08:00Z,UP,30.5,1,0,13,0,6896,76.6222
2026-01-27T08:39:00Z,2026-01-27T10:09:00Z,UP,27.0,1,0,8,1,4594,51.0444
2026-01-27T13:52:00Z,2026-01-27T15:22:00Z,UP,32.8,1,0,13,1,10550,117.2222
2026-01-27T19:48:00Z,2026-01-27T21:18:00Z,UP,39.3,1,0,19,1,14153,157.2556
2026-01-28T00:05:00Z,2026-01-28T01:35:00Z,UP,31.6,1,0,0,2,14108,156.7556
2026-01-28T05:45:00Z,2026-01-28T07:15:00Z,UP,24.8,1,0,5,2,6848,76.0889
2026-01-28T09:22:00Z,2026-01-28T10:52:00Z,UP,24.0,1,0,9,2,5934,65.9333
2026-01-28T15:17:00Z,2026-01-28T16:47:00Z,UP,23.0,1,0,15,2,13360,148.4444
2026-01-28T19:29:00Z,2026-01-28T20:59:00Z,UP,43.4,1,0,19,2,11051,122.7889
2026-01-29T02:40:00Z,2026-01-29T04:10:00Z,UP,47.8,1,1,2,3,7375,81.9444
