entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars,comp_units_opened,comp_units_closed,comp_pnl_usd,comp_balance
2026-01-30T20:45:00.000000000Z,2026-01-30T20:45:00.000000000Z,SHORT,8000.00,0.00,0.69626,0.69626,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,0.0000,0,10233,0,0.000000,250.000000
2026-01-30T20:45:00.000000000Z,2026-02-01T22:59:00.000000000Z,SHORT,8000.00,2400.00,0.69626,0.69432,TP1,TP1,19.35,5.81,4.6440,-4.85,4.6440,7,0,3070,5.940450,255.940450
2026-01-30T20:45:00.000000000Z,2026-02-01T22:59:00.000000000Z,SHORT,8000.00,5600.00,0.69626,0.69432,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-4.85,15.4800,7,0,7163,13.860405,269.800855
2026-02-02T02:15:00.000000000Z,2026-02-02T02:15:00.000000000Z,SHORT,8000.00,0.00,0.69576,0.69576,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,15.4800,0,11051,0,0.000000,269.800855
2026-02-02T02:15:00.000000000Z,2026-02-02T04:01:00.000000000Z,SHORT,8000.00,2400.00,0.69576,0.69382,TP1,TP1,19.35,5.81,4.6440,-9.05,20.1240,6,0,3315,6.414525,276.215380
2026-02-02T02:15:00.000000000Z,2026-02-02T04:01:00.000000000Z,SHORT,8000.00,5600.00,0.69576,0.69382,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-9.05,30.9600,6,0,7736,14.969160,291.184540
2026-02-02T06:45:00.000000000Z,2026-02-02T06:45:00.000000000Z,LONG,8000.00,0.00,0.69240,0.69240,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,30.9600,0,11985,0,0.000000,291.184540
2026-02-02T06:45:00.000000000Z,2026-02-02T07:55:00.000000000Z,LONG,8000.00,2400.00,0.69240,0.69434,TP1,TP1,19.35,5.81,4.6440,-1.45,35.6040,3,0,3596,6.958260,298.142800
2026-02-02T06:45:00.000000000Z,2026-02-02T07:55:00.000000000Z,LONG,8000.00,5600.00,0.69240,0.69434,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-1.45,46.4400,3,0,8389,16.232715,314.375515
2026-02-02T10:30:00.000000000Z,2026-02-02T10:30:00.000000000Z,SHORT,8000.00,0.00,0.69497,0.69497,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,46.4400,0,12892,0,0.000000,314.375515
2026-02-02T10:30:00.000000000Z,2026-02-02T14:30:00.000000000Z,SHORT,8000.00,8000.00,0.69497,0.69620,EXIT,FLIP,-12.40,-12.40,-9.9200,-21.05,36.5200,16,0,12892,-15.986080,298.389435
2026-02-02T14:30:00.000000000Z,2026-02-02T14:30:00.000000000Z,LONG,8000.00,0.00,0.69620,0.69620,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,36.5200,0,12215,0,0.000000,298.389435
2026-02-02T14:30:00.000000000Z,2026-02-03T03:30:00.000000000Z,LONG,8000.00,2400.00,0.69620,0.69814,TP1,TP1,19.35,5.81,4.6440,-26.35,41.1640,51,0,3664,7.089840,305.479275
2026-02-02T14:30:00.000000000Z,2026-02-03T03:30:00.000000000Z,LONG,8000.00,5600.00,0.69620,0.69814,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-26.35,52.0000,51,0,8550,16.544250,322.023525
2026-02-03T05:00:00.000000000Z,2026-02-03T05:00:00.000000000Z,SHORT,8000.00,0.00,0.70049,0.70049,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,52.0000,0,13101,0,0.000000,322.023525
2026-02-03T05:00:00.000000000Z,2026-02-03T07:32:00.000000000Z,SHORT,8000.00,8000.00,0.70049,0.70336,EXIT,SL,-28.65,-28.65,-22.9200,-30.55,29.0800,9,0,13101,-37.534365,284.489160
2026-02-03T08:45:00.000000000Z,2026-02-03T08:45:00.000000000Z,SHORT,8000.00,0.00,0.70293,0.70293,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,29.0800,0,11534,0,0.000000,284.489160
2026-02-03T08:45:00.000000000Z,2026-02-03T09:25:00.000000000Z,SHORT,8000.00,2400.00,0.70293,0.70100,TP1,TP1,19.35,5.81,4.6440,-2.95,33.7240,1,0,3460,6.695100,291.184260
2026-02-03T08:45:00.000000000Z,2026-02-03T09:25:00.000000000Z,SHORT,8000.00,5600.00,0.70293,0.70100,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-2.95,44.5600,1,0,8074,15.623190,306.807450
2026-02-03T12:00:00.000000000Z,2026-02-03T12:00:00.000000000Z,LONG,8000.00,0.00,0.70059,0.70059,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,44.5600,0,12480,0,0.000000,306.807450
2026-02-03T12:00:00.000000000Z,2026-02-03T17:15:00.000000000Z,LONG,8000.00,8000.00,0.70059,0.70142,EXIT,FLIP,8.30,8.30,6.6400,-25.05,51.2000,21,0,12480,10.358400,317.165850
2026-02-03T17:15:00.000000000Z,2026-02-03T17:15:00.000000000Z,SHORT,8000.00,0.00,0.70142,0.70142,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,51.2000,0,12887,0,0.000000,317.165850
2026-02-03T17:15:00.000000000Z,2026-02-03T19:05:00.000000000Z,SHORT,8000.00,2400.00,0.70142,0.69948,TP1,TP1,19.35,5.81,4.6440,-5.15,55.8440,6,0,3866,7.480710,324.646560
2026-02-03T17:15:00.000000000Z,2026-02-03T19:05:00.000000000Z,SHORT,8000.00,5600.00,0.70142,0.69948,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-5.15,66.6800,6,0,9021,17.455635,342.102195
2026-02-04T01:00:00.000000000Z,2026-02-04T01:00:00.000000000Z,LONG,8000.00,0.00,0.70259,0.70259,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,66.6800,0,13877,0,0.000000,342.102195
