ts,equity
2026-02-09T11:30:00.000000000Z,0.8400
2026-02-09T13:00:00.000000000Z,7.8400
2026-02-09T16:15:00.000000000Z,26.3200
2026-02-09T21:45:00.000000000Z,19.6700
2026-02-10T06:15:00.000000000Z,0.0700
2026-02-10T09:45:00.000000000Z,4.1300
2026-02-10T13:45:00.000000000Z,3.7100
2026-02-11T01:30:00.000000000Z,10.7100
2026-02-11T11:30:00.000000000Z,24.5350
2026-02-11T13:30:00.000000000Z,31.5350
2026-02-11T13:45:00.000000000Z,38.5350
2026-02-11T21:45:00.000000000Z,42.8750
2026-02-12T02:15:00.000000000Z,47.2150
2026-02-12T04:45:00.000000000Z,54.2150
2026-02-12T05:00:00.000000000Z,61.2150
2026-02-12T12:15:00.000000000Z,65.6950
2026-02-12T16:00:00.000000000Z,72.6950
2026-02-12T18:30:00.000000000Z,86.4850
2026-02-12T23:30:00.000000000Z,84.9450
2026-02-13T02:45:00.000000000Z,82.1450
2026-02-13T03:45:00.000000000Z,77.8050
2026-02-13T06:00:00.000000000Z,84.8050
2026-02-13T07:45:00.000000000Z,92.9950
2026-02-13T10:00:00.000000000Z,98.3150
2026-02-13T11:30:00.000000000Z,105.3150
2026-02-13T12:15:00.000000000Z,112.3150
2026-02-13T13:30:00.000000000Z,119.3150
2026-02-13T14:45:00.000000000Z,126.3150
2026-02-13T19:15:00.000000000Z,134.9950
2026-02-13T21:45:00.000000000Z,138.9850
