rank,case_id,tp1_close_pct,min_hold_bars,block_session_enabled,block_session,from,to,total_trades,win_rate,profit_factor,total_pnl_usd,max_drawdown_pips,num_stopouts,runner_pnl_usd,tp1_hit_pct,worst_day_pnl_usd,best_day_pnl_usd,positive_days_pct,sharpe,score
1,tp1_30_hold_3_block,30,3,True,1400-1600,2026-02-09,2026-02-13,30.0,80.0,5.229108910891171,149.49899999999957,37.50000000000031,1.0,39.20000000000003,36.36363636363637,-15.960000000000003,54.516000000000005,80.0,3.302810710559472,20.846574748514943
2,tp1_30_hold_3_open,30,3,False,,2026-02-09,2026-02-13,33.0,78.78787878787878,4.861769911504569,152.73300000000094,37.50000000000031,1.0,39.20000000000003,32.0,-9.800000000000002,50.316,80.0,3.2758894196955644,19.80140543716869
3,tp1_40_hold_3_block,40,3,True,1400-1600,2026-02-09,2026-02-13,30.0,80.0,5.080396039604041,144.24199999999962,37.50000000000031,1.0,33.60000000000003,36.36363636363637,-15.960000000000003,54.278,80.0,3.5136040692147947,19.541506281188216
4,tp1_40_hold_3_open,40,3,False,,2026-02-09,2026-02-13,33.0,78.78787878787878,4.724247787610761,147.29400000000098,37.50000000000031,1.0,33.60000000000003,32.0,-9.800000000000002,50.077999999999996,80.0,3.476286603929808,18.55608943008902
5,tp1_50_hold_3_block,50,3,True,1400-1600,2026-02-09,2026-02-13,30.0,80.0,4.93168316831691,138.9849999999997,37.50000000000031,1.0,28.000000000000025,36.36363636363637,-15.960000000000003,54.040000000000006,80.0,3.670378007584166,18.27813293729383
6,tp1_50_hold_3_open,50,3,False,,2026-02-09,2026-02-13,33.0,78.78787878787878,4.586725663716952,141.855000000001,37.50000000000031,1.0,28.000000000000025,32.0,-9.800000000000002,49.84,80.0,3.6255894762770646,17.350665840708466
7,tp1_30_hold_5_block,30,5,True,1400-1600,2026-02-09,2026-02-13,28.0,78.57142857142857,3.3428769017980575,118.57299999999901,37.50000000000031,2.0,39.20000000000003,33.33333333333333,-15.960000000000003,44.786,80.0,2.357360748663285,10.569998476717185
8,tp1_40_hold_5_block,40,5,True,1400-1600,2026-02-09,2026-02-13,28.0,78.57142857142857,3.2437067773167305,113.55399999999909,37.50000000000031,2.0,33.60000000000003,33.33333333333333,-15.960000000000003,43.428000000000004,80.0,2.43358548037745,9.82229011710448
9,tp1_50_hold_5_block,50,5,True,1400-1600,2026-02-09,2026-02-13,28.0,78.57142857142857,3.144536652835404,108.53499999999916,37.50000000000031,2.0,28.000000000000025,33.33333333333333,-15.960000000000003,42.07,80.0,2.47222937125214,9.101127616412935
10,tp1_30_hold_5_open,30,5,False,,2026-02-09,2026-02-13,29.0,75.86206896551724,2.755411764705894,104.44700000000012,37.50000000000031,2.0,39.20000000000003,31.818181818181817,-9.800000000000002,44.786,80.0,2.003169142266925,7.674519802352918
11,tp1_40_hold_5_open,40,5,False,,2026-02-09,2026-02-13,29.0,75.86206896551724,2.668000000000012,99.24600000000017,37.50000000000031,2.0,33.60000000000003,31.818181818181817,-9.800000000000002,43.428000000000004,80.0,2.048536555386954,7.061022079999985
12,tp1_50_hold_5_open,50,5,False,,2026-02-09,2026-02-13,29.0,75.86206896551724,2.58058823529413,94.04500000000021,37.50000000000031,2.0,28.000000000000025,31.818181818181817,-9.800000000000002,42.07,80.0,2.061887102452945,6.471771215686267
